Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
1,0,0,1,2020-02-28
0,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
0,0,0,1,2020-03-08
1,0,0,2,2020-03-09
0,0,0,2,2020-03-10
0,0,0,2,2020-03-11
0,0,0,2,2020-03-12
0,0,0,2,2020-03-13
0,0,0,2,2020-03-14
0,0,0,2,2020-03-15
0,0,0,2,2020-03-16
1,0,0,3,2020-03-17
5,0,1,7,2020-03-18
0,0,0,7,2020-03-19
4,0,0,11,2020-03-20
10,0,0,21,2020-03-21
8,0,1,28,2020-03-22
10,1,0,37,2020-03-23
4,0,0,41,2020-03-24
7,0,0,48,2020-03-25
14,0,0,62,2020-03-26
5,0,1,66,2020-03-27
19,0,0,85,2020-03-28
22,0,0,107,2020-03-29
20,1,5,121,2020-03-30
4,0,0,125,2020-03-31
39,0,1,163,2020-04-01
10,0,11,162,2020-04-02
26,2,5,181,2020-04-03
4,0,0,185,2020-04-04
18,1,8,194,2020-04-05
6,0,2,198,2020-04-06
16,1,9,204,2020-04-07
22,0,0,226,2020-04-08
12,1,7,230,2020-04-09
17,0,7,240,2020-04-10
13,3,12,238,2020-04-11
5,0,15,228,2020-04-12
20,0,6,242,2020-04-13
30,1,8,263,2020-04-14
34,1,29,267,2020-04-15
35,1,24,277,2020-04-16
51,4,7,317,2020-04-17
49,2,7,357,2020-04-18
85,2,4,436,2020-04-19
38,1,18,455,2020-04-20
0,0,0,455,2020-04-21
208,6,9,648,2020-04-22
108,3,0,753,2020-04-23
114,1,11,855,2020-04-24
87,3,14,925,2020-04-25
91,5,17,994,2020-04-26
64,0,16,1042,2020-04-27
195,4,0,1233,2020-04-28
196,7,52,1370,2020-04-29
204,7,12,1555,2020-04-30
238,10,32,1751,2020-05-01
218,17,0,1952,2020-05-02
170,2,49,2071,2020-05-03
244,6,17,2292,2020-05-04
148,5,64,2371,2020-05-05
195,5,53,2508,2020-05-06
381,4,67,2818,2020-05-07
386,10,78,3116,2020-05-08
239,11,66,3278,2020-05-09
248,15,33,3478,2020-05-10
242,7,124,3589,2020-05-11
146,8,57,3670,2020-05-12
184,6,111,3737,2020-05-13
191,3,110,3815,2020-05-14
288,4,140,3959,2020-05-15
171,5,152,3973,2020-05-16
338,6,122,4183,2020-05-17
216,9,50,4340,2020-05-18
226,1,90,4475,2020-05-19
276,8,106,4637,2020-05-20
339,11,67,4898,2020-05-21
245,10,100,5033,2020-05-22
265,0,167,5131,2020-05-23
313,5,89,5350,2020-05-24
229,7,48,5524,2020-05-25
276,16,74,5710,2020-05-26
389,5,116,5978,2020-05-27
182,5,91,6064,2020-05-28
387,2,105,6344,2020-05-29
553,12,159,6726,2020-05-30
307,14,151,6868,2020-05-31
416,12,115,7157,2020-06-01
241,15,118,7265,2020-06-02
347,1,89,7522,2020-06-03
350,8,206,7658,2020-06-04
328,10,161,7815,2020-06-05
389,9,130,8065,2020-06-06
253,12,133,8173,2020-06-07
315,7,81,8400,2020-06-08
