Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
1,0,0,1,2020-02-26
0,0,0,1,2020-02-27
5,0,0,6,2020-02-28
9,0,0,15,2020-02-29
4,0,0,19,2020-03-01
6,0,0,25,2020-03-02
7,0,0,32,2020-03-03
24,0,0,56,2020-03-04
31,0,0,87,2020-03-05
21,0,0,108,2020-03-06
39,0,0,147,2020-03-07
29,0,0,176,2020-03-08
29,0,1,204,2020-03-09
195,0,0,399,2020-03-10
198,0,0,597,2020-03-11
104,0,0,701,2020-03-12
294,0,0,995,2020-03-13
94,3,0,1086,2020-03-14
131,0,0,1217,2020-03-15
112,0,0,1329,2020-03-16
130,0,0,1459,2020-03-17
87,3,0,1543,2020-03-18
196,1,0,1738,2020-03-19
168,0,0,1906,2020-03-20
204,0,0,2110,2020-03-21
267,0,0,2377,2020-03-22
236,3,0,2610,2020-03-23
242,2,5,2845,2020-03-24
221,2,0,3064,2020-03-25
285,0,0,3349,2020-03-26
386,5,0,3730,2020-03-27
260,4,1,3985,2020-03-28
269,2,0,4252,2020-03-29
161,7,5,4401,2020-03-30
196,7,1,4589,2020-03-31
222,5,0,4806,2020-04-01
284,6,19,5065,2020-04-02
223,9,0,5279,2020-04-03
180,3,0,5456,2020-04-04
137,9,0,5584,2020-04-05
178,5,0,5757,2020-04-06
221,13,0,5965,2020-04-07
0,12,0,5953,2020-04-08
125,7,0,6071,2020-04-09
103,5,0,6169,2020-04-10
95,6,0,6258,2020-04-11
116,9,0,6365,2020-04-12
78,6,0,6437,2020-04-13
20,5,0,6452,2020-04-14
117,11,0,6558,2020-04-15
156,2,0,6712,2020-04-16
41,9,0,6744,2020-04-17
99,3,0,6840,2020-04-18
42,1,0,6881,2020-04-19
78,16,0,6943,2020-04-20
35,1,0,6977,2020-04-21
147,5,0,7119,2020-04-22
63,7,0,7175,2020-04-23
62,5,0,7232,2020-04-24
36,2,0,7266,2020-04-25
28,0,0,7294,2020-04-26
72,4,0,7362,2020-04-27
61,1,0,7422,2020-04-28
50,1,0,7471,2020-04-29
28,3,0,7496,2020-04-30
45,0,0,7541,2020-05-01
26,1,0,7566,2020-05-02
38,0,0,7604,2020-05-03
57,3,0,7658,2020-05-04
51,1,0,7708,2020-05-05
41,1,0,7748,2020-05-06
38,1,0,7785,2020-05-07
36,1,0,7820,2020-05-08
29,1,0,7848,2020-05-09
6,0,0,7854,2020-05-10
27,5,0,7876,2020-05-11
25,4,0,7897,2020-05-12
18,1,0,7914,2020-05-13
21,3,0,7932,2020-05-14
23,0,0,7955,2020-05-15
18,0,0,7973,2020-05-16
12,0,0,7985,2020-05-17
8,1,0,7992,2020-05-18
10,0,0,8002,2020-05-19
14,1,0,8015,2020-05-20
28,1,0,8042,2020-05-21
23,0,7695,370,2020-05-22
14,0,0,384,2020-05-23
6,0,0,390,2020-05-24
12,0,0,402,2020-05-25
19,0,0,421,2020-05-26
18,0,0,439,2020-05-27
10,1,0,448,2020-05-28
11,0,0,459,2020-05-29
15,0,0,474,2020-05-30
3,0,0,477,2020-05-31
6,0,0,483,2020-06-01
9,1,0,491,2020-06-02
22,0,0,513,2020-06-03
27,1,411,128,2020-06-04
18,0,0,146,2020-06-05
9,0,0,155,2020-06-06
