Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
2,0,0,2,2020-02-24
0,0,0,2,2020-02-25
2,0,0,4,2020-02-26
0,0,0,4,2020-02-27
0,0,0,4,2020-02-28
2,0,1,5,2020-02-29
0,0,0,5,2020-03-01
0,0,0,5,2020-03-02
6,0,1,10,2020-03-03
3,0,0,13,2020-03-04
1,0,0,14,2020-03-05
0,0,0,14,2020-03-06
0,0,0,14,2020-03-07
0,0,0,14,2020-03-08
0,0,0,14,2020-03-09
2,0,7,9,2020-03-10
0,0,0,9,2020-03-11
0,0,0,9,2020-03-12
1,0,0,10,2020-03-13
0,0,0,10,2020-03-14
3,0,0,13,2020-03-15
0,0,0,13,2020-03-16
2,0,0,15,2020-03-17
15,0,3,27,2020-03-18
9,0,0,36,2020-03-19
0,0,0,36,2020-03-20
4,0,0,40,2020-03-21
3,0,5,38,2020-03-22
11,0,0,49,2020-03-23
18,0,0,67,2020-03-24
15,0,0,82,2020-03-25
10,0,6,86,2020-03-26
22,0,0,108,2020-03-27
21,0,0,129,2020-03-28
15,0,0,144,2020-03-29
12,0,6,150,2020-03-30
13,1,5,157,2020-03-31
18,0,0,175,2020-04-01
21,0,23,173,2020-04-02
21,0,0,194,2020-04-03
25,1,4,214,2020-04-04
21,0,0,235,2020-04-05
33,0,0,268,2020-04-06
40,0,6,302,2020-04-07
48,0,5,345,2020-04-08
38,1,37,345,2020-04-09
27,0,0,372,2020-04-10
62,0,0,434,2020-04-11
53,1,0,486,2020-04-12
128,0,15,599,2020-04-13
86,0,6,679,2020-04-14
97,0,1,775,2020-04-15
109,0,45,839,2020-04-16
50,2,0,887,2020-04-17
111,0,0,998,2020-04-18
86,1,57,1026,2020-04-19
144,0,5,1165,2020-04-20
98,1,0,1262,2020-04-21
106,0,0,1368,2020-04-22
102,1,69,1400,2020-04-23
74,1,18,1455,2020-04-24
115,0,4,1566,2020-04-25
93,0,4,1655,2020-04-26
51,0,31,1675,2020-04-27
82,0,0,1757,2020-04-28
143,0,0,1900,2020-04-29
74,1,131,1842,2020-04-30
99,0,0,1941,2020-05-01
36,1,255,1721,2020-05-02
85,0,0,1806,2020-05-03
69,0,66,1809,2020-05-04
98,1,42,1864,2020-05-05
168,0,30,2002,2020-05-06
55,2,92,1963,2020-05-07
154,1,45,2071,2020-05-08
112,1,43,2139,2020-05-09
175,0,49,2265,2020-05-10
174,0,133,2306,2020-05-11
148,0,0,2454,2020-05-12
298,0,39,2713,2020-05-13
322,1,14,3020,2020-05-14
284,2,47,3255,2020-05-15
404,1,86,3572,2020-05-16
157,1,29,3699,2020-05-17
193,3,31,3858,2020-05-18
292,2,78,4070,2020-05-19
372,3,87,4352,2020-05-20
327,1,160,4518,2020-05-21
424,3,0,4939,2020-05-22
463,2,27,5373,2020-05-23
513,1,85,5800,2020-05-24
0,0,0,5800,2020-05-25
348,0,134,6014,2020-05-26
255,2,110,6157,2020-05-27
636,1,0,6792,2020-05-28
811,0,219,7384,2020-05-29
603,2,0,7985,2020-05-30
1014,7,286,8706,2020-05-31
786,1,0,9491,2020-06-01
576,9,130,9928,2020-06-02
738,8,33,10625,2020-06-03
779,0,606,10798,2020-06-04
770,5,0,11563,2020-06-05
930,0,0,12493,2020-06-06
866,3,0,13356,2020-06-07
