Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
4,0,0,4,2020-03-05
3,0,0,7,2020-03-06
9,0,0,16,2020-03-07
0,0,0,16,2020-03-08
3,0,0,19,2020-03-09
7,0,0,26,2020-03-10
4,0,0,30,2020-03-11
0,0,0,30,2020-03-12
1,0,0,31,2020-03-13
4,0,0,35,2020-03-14
3,0,0,38,2020-03-15
0,0,0,38,2020-03-16
1,0,0,39,2020-03-17
2,0,0,41,2020-03-18
3,0,0,44,2020-03-19
3,0,17,30,2020-03-20
1,0,0,31,2020-03-21
4,0,0,35,2020-03-22
7,0,0,42,2020-03-23
0,0,0,42,2020-03-24
0,0,0,42,2020-03-25
25,1,0,66,2020-03-26
7,0,0,73,2020-03-27
7,0,1,79,2020-03-28
11,0,0,90,2020-03-29
7,0,0,97,2020-03-30
3,0,0,100,2020-03-31
15,0,0,115,2020-04-01
27,0,0,142,2020-04-02
33,0,3,172,2020-04-03
23,0,0,195,2020-04-04
20,0,4,211,2020-04-05
17,0,-1,229,2020-04-06
7,0,18,218,2020-04-07
2,0,2,218,2020-04-08
0,0,0,218,2020-04-09
4,1,1,220,2020-04-10
1,0,12,209,2020-04-11
3,0,1,211,2020-04-12
2,0,0,213,2020-04-13
11,0,4,220,2020-04-14
7,0,1,226,2020-04-15
3,0,0,229,2020-04-16
13,0,6,236,2020-04-17
6,0,0,242,2020-04-18
6,0,2,246,2020-04-19
10,0,0,256,2020-04-20
0,0,0,256,2020-04-21
6,0,0,262,2020-04-22
1,0,3,260,2020-04-23
4,0,7,257,2020-04-24
2,0,2,257,2020-04-25
0,0,0,257,2020-04-26
0,0,0,257,2020-04-27
1,0,-12,270,2020-04-28
1,0,0,271,2020-04-29
0,0,5,266,2020-04-30
9,0,0,275,2020-05-01
0,0,0,275,2020-05-02
0,0,1,274,2020-05-03
9,0,25,258,2020-05-04
9,0,25,242,2020-05-05
3,0,47,198,2020-05-06
1,0,2,197,2020-05-07
0,0,52,145,2020-05-08
0,0,0,145,2020-05-09
0,0,35,110,2020-05-10
0,0,38,72,2020-05-11
0,0,7,65,2020-05-12
0,0,2,63,2020-05-13
0,0,0,63,2020-05-14
0,0,5,58,2020-05-15
1,0,14,45,2020-05-16
5,0,6,44,2020-05-17
7,0,2,49,2020-05-18
3,0,9,43,2020-05-19
7,0,0,50,2020-05-20
25,0,0,75,2020-05-21
0,0,0,75,2020-05-22
0,1,2,72,2020-05-23
0,0,9,63,2020-05-24
0,0,0,63,2020-05-25
6,0,8,61,2020-05-26
5,0,0,66,2020-05-27
12,0,3,75,2020-05-28
0,0,0,75,2020-05-29
1,0,0,76,2020-05-30
1,0,4,73,2020-05-31
1,0,0,74,2020-06-01
2,0,0,76,2020-06-02
6,0,0,82,2020-06-03
7,0,5,84,2020-06-04
0,0,0,84,2020-06-05
0,0,23,61,2020-06-06
8,0,3,66,2020-06-07
1,0,1,66,2020-06-08
8,0,0,74,2020-06-09
4,0,6,72,2020-06-10
2,0,0,74,2020-06-11
