Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
1,0,0,1,2020-03-10
7,1,0,7,2020-03-11
3,0,0,10,2020-03-12
16,0,0,26,2020-03-13
9,0,0,35,2020-03-14
7,0,0,42,2020-03-15
12,0,0,54,2020-03-16
14,0,0,68,2020-03-17
17,0,0,85,2020-03-18
23,0,0,108,2020-03-19
28,0,0,136,2020-03-20
63,0,0,199,2020-03-21
113,2,0,310,2020-03-22
32,3,0,339,2020-03-23
0,0,1,338,2020-03-24
98,2,0,434,2020-03-25
115,0,1,548,2020-03-26
116,1,0,663,2020-03-27
112,5,0,770,2020-03-28
115,3,2,880,2020-03-29
88,7,0,961,2020-03-30
192,6,5,1142,2020-03-31
0,0,0,1142,2020-04-01
136,2,0,1276,2020-04-02
158,5,1,1428,2020-04-03
198,4,3,1619,2020-04-04
128,5,0,1742,2020-04-05
187,8,0,1921,2020-04-06
112,1,1,2031,2020-04-07
149,4,2,2174,2020-04-08
279,4,0,2449,2020-04-09
224,3,0,2670,2020-04-10
222,8,1,2883,2020-04-11
260,5,6,3132,2020-04-12
166,8,6,3284,2020-04-13
72,7,32,3317,2020-04-14
102,1,11,3407,2020-04-15
177,8,3,3573,2020-04-16
265,6,23,3809,2020-04-17
194,7,24,3972,2020-04-18
63,4,18,4013,2020-04-19
194,6,25,4176,2020-04-20
191,10,39,4318,2020-04-21
163,5,27,4449,2020-04-22
345,5,40,4749,2020-04-23
172,8,48,4865,2020-04-24
200,5,19,5041,2020-04-25
241,6,0,5276,2020-04-26
242,2,117,5399,2020-04-27
0,0,0,5399,2020-04-28
357,11,72,5673,2020-04-29
154,10,49,5768,2020-04-30
188,4,46,5906,2020-05-01
370,5,19,6252,2020-05-02
0,0,0,6252,2020-05-03
107,3,0,6356,2020-05-04
326,10,182,6490,2020-05-05
208,8,36,6654,2020-05-06
137,7,27,6757,2020-05-07
202,6,0,6953,2020-05-08
212,6,3615,3544,2020-05-09
166,7,186,3517,2020-05-10
168,5,0,3680,2020-05-11
167,3,1334,2510,2020-05-12
161,4,46,2621,2020-05-13
174,4,13,2778,2020-05-14
150,6,0,2922,2020-05-15
181,3,0,3100,2020-05-16
157,6,1,3250,2020-05-17
120,4,0,3366,2020-05-18
141,2,113,3392,2020-05-19
110,6,0,3496,2020-05-20
139,4,51,3580,2020-05-21
151,4,30,3697,2020-05-22
310,4,4,3999,2020-05-23
349,7,0,4341,2020-05-24
257,4,0,4594,2020-05-25
264,3,100,4755,2020-05-26
281,2,1000,4034,2020-05-27
403,5,0,4432,2020-05-28
400,6,161,4665,2020-05-29
487,4,1874,3274,2020-05-30
445,6,100,3613,2020-05-31
374,8,0,3979,2020-06-01
258,8,0,4229,2020-06-02
514,5,5,4733,2020-06-03
435,6,100,5062,2020-06-04
419,7,100,5374,2020-06-05
541,16,399,5500,2020-06-06
