Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
1,0,0,1,2020-03-08
0,0,0,1,2020-03-09
0,0,0,1,2020-03-10
4,0,0,5,2020-03-11
0,0,0,5,2020-03-12
1,0,0,6,2020-03-13
0,0,0,6,2020-03-14
0,0,0,6,2020-03-15
2,0,0,8,2020-03-16
1,0,0,9,2020-03-17
2,0,0,11,2020-03-18
0,0,0,11,2020-03-19
2,0,0,13,2020-03-20
5,1,0,17,2020-03-21
4,0,0,21,2020-03-22
0,0,0,21,2020-03-23
5,1,0,25,2020-03-24
10,1,0,34,2020-03-25
4,0,0,38,2020-03-26
11,0,1,48,2020-03-27
4,0,0,52,2020-03-28
3,0,0,55,2020-03-29
5,0,0,60,2020-03-30
1,0,0,61,2020-03-31
4,0,0,65,2020-04-01
8,0,1,72,2020-04-02
15,0,4,83,2020-04-03
4,0,6,81,2020-04-04
8,0,0,89,2020-04-05
9,2,0,96,2020-04-06
2,0,3,95,2020-04-07
4,0,0,99,2020-04-08
5,0,3,101,2020-04-09
5,1,0,105,2020-04-10
4,0,0,109,2020-04-11
1,0,4,106,2020-04-12
13,0,0,119,2020-04-13
12,1,0,130,2020-04-14
2,1,1,130,2020-04-15
13,0,7,136,2020-04-16
25,0,0,161,2020-04-17
3,0,5,159,2020-04-18
4,0,6,157,2020-04-19
2,0,5,154,2020-04-20
0,0,7,147,2020-04-21
5,1,9,142,2020-04-22
0,0,5,137,2020-04-23
10,0,11,136,2020-04-24
5,0,7,134,2020-04-25
0,0,0,134,2020-04-26
0,0,8,126,2020-04-27
11,0,9,128,2020-04-28
0,0,0,128,2020-04-29
27,1,11,143,2020-04-30
67,0,2,208,2020-05-01
37,0,4,241,2020-05-02
26,0,7,260,2020-05-03
19,0,4,275,2020-05-04
16,0,5,286,2020-05-05
9,0,7,288,2020-05-06
22,0,6,304,2020-05-07
101,0,4,401,2020-05-08
126,0,3,524,2020-05-09
24,0,10,538,2020-05-10
11,0,5,544,2020-05-11
13,0,3,554,2020-05-12
3,1,9,547,2020-05-13
14,0,2,559,2020-05-14
5,0,9,555,2020-05-15
19,0,5,569,2020-05-16
8,0,4,573,2020-05-17
2,0,17,558,2020-05-18
41,0,11,588,2020-05-19
4,0,12,580,2020-05-20
3,0,14,569,2020-05-21
2,0,8,563,2020-05-22
12,0,34,541,2020-05-23
12,0,9,544,2020-05-24
3,0,37,510,2020-05-25
12,0,38,484,2020-05-26
7,0,10,481,2020-05-27
16,0,10,487,2020-05-28
17,0,11,493,2020-05-29
47,0,53,487,2020-05-30
22,0,11,498,2020-05-31
9,0,11,496,2020-06-01
18,0,10,504,2020-06-02
57,0,13,548,2020-06-03
16,0,0,564,2020-06-04
1,0,5,560,2020-06-05
3,0,16,547,2020-06-06
45,0,43,549,2020-06-07
10,0,28,531,2020-06-08
42,0,1,572,2020-06-09
15,0,15,572,2020-06-10
28,0,5,595,2020-06-11
