Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
0,0,0,1,2020-03-07
5,0,0,6,2020-03-08
1,0,0,7,2020-03-09
4,0,0,11,2020-03-10
0,0,0,11,2020-03-11
4,0,0,15,2020-03-12
13,0,0,28,2020-03-13
10,0,0,38,2020-03-14
5,0,0,43,2020-03-15
43,0,0,86,2020-03-16
31,0,1,116,2020-03-17
28,0,0,144,2020-03-18
89,0,0,233,2020-03-19
0,3,0,230,2020-03-20
84,2,0,312,2020-03-21
45,0,0,357,2020-03-22
32,0,0,389,2020-03-23
21,2,0,408,2020-03-24
64,2,0,470,2020-03-25
100,0,13,557,2020-03-26
55,2,2,608,2020-03-27
36,5,0,639,2020-03-28
181,2,0,818,2020-03-29
98,6,37,873,2020-03-30
115,6,341,641,2020-03-31
258,8,0,891,2020-04-01
91,17,143,822,2020-04-02
181,6,0,997,2020-04-03
151,12,377,759,2020-04-04
535,10,75,1209,2020-04-05
280,9,8,1472,2020-04-06
393,15,304,1546,2020-04-07
1388,14,32,2888,2020-04-08
914,17,105,3680,2020-04-09
641,31,131,4159,2020-04-10
951,12,170,4928,2020-04-11
671,12,59,5528,2020-04-12
2265,23,844,6926,2020-04-13
519,14,227,7204,2020-04-14
1172,24,239,8113,2020-04-15
1016,20,3012,6097,2020-04-16
998,26,421,6648,2020-04-17
931,48,143,7388,2020-04-18
1208,52,127,8417,2020-04-19
697,45,157,8912,2020-04-20
1512,39,14,10371,2020-04-21
1413,46,45,11693,2020-04-22
1664,42,395,12920,2020-04-23
734,62,74,13518,2020-04-24
3683,66,301,16834,2020-04-25
2186,28,291,18701,2020-04-26
1182,54,337,19492,2020-04-27
2491,72,754,21157,2020-04-28
2741,89,858,22951,2020-04-29
3045,108,368,25520,2020-04-30
3483,73,724,28206,2020-05-01
2075,76,1305,28900,2020-05-02
3394,86,1116,31092,2020-05-03
1444,58,877,31601,2020-05-04
3817,100,986,34332,2020-05-05
3628,89,2114,35757,2020-05-06
3709,94,861,38511,2020-05-07
3321,87,624,41121,2020-05-08
3168,100,1234,42955,2020-05-09
2292,75,1103,44069,2020-05-10
1515,72,1057,44455,2020-05-11
3237,96,918,46678,2020-05-12
4247,112,1000,49813,2020-05-13
4298,98,827,53186,2020-05-14
3891,125,1996,54956,2020-05-15
4046,131,1125,57746,2020-05-16
3732,125,349,61004,2020-05-17
2660,141,1685,61838,2020-05-18
4550,125,6218,60045,2020-05-19
4537,110,5444,59028,2020-05-20
4749,124,1619,62034,2020-05-21
2929,96,1261,63606,2020-05-22
4056,129,3067,64466,2020-05-23
4205,83,1880,66708,2020-05-24
4020,173,1154,69401,2020-05-25
5772,159,1957,73057,2020-05-26
6154,195,3263,75753,2020-05-27
5874,116,3273,78238,2020-05-28
6506,131,3349,81264,2020-05-29
7386,141,3656,84853,2020-05-30
8805,135,761,92762,2020-05-31
5563,128,1299,96898,2020-06-01
8126,133,750,104141,2020-06-02
