Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
1,0,0,1,2020-01-30
0,0,0,1,2020-01-31
0,0,0,1,2020-02-01
1,1,0,1,2020-02-02
0,0,0,1,2020-02-03
0,0,0,1,2020-02-04
0,0,0,1,2020-02-05
0,0,0,1,2020-02-06
1,0,0,2,2020-02-07
0,0,0,2,2020-02-08
0,0,0,2,2020-02-09
0,0,0,2,2020-02-10
0,0,0,2,2020-02-11
0,0,1,1,2020-02-12
0,0,0,1,2020-02-13
0,0,0,1,2020-02-14
0,0,0,1,2020-02-15
0,0,0,1,2020-02-16
0,0,0,1,2020-02-17
0,0,0,1,2020-02-18
0,0,0,1,2020-02-19
0,0,0,1,2020-02-20
0,0,0,1,2020-02-21
0,0,0,1,2020-02-22
0,0,0,1,2020-02-23
0,0,0,1,2020-02-24
0,0,0,1,2020-02-25
0,0,0,1,2020-02-26
0,0,0,1,2020-02-27
0,0,0,1,2020-02-28
0,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
2,0,0,3,2020-03-06
1,0,0,4,2020-03-07
4,0,0,8,2020-03-08
10,0,0,18,2020-03-09
13,0,1,30,2020-03-10
16,0,0,46,2020-03-11
3,1,0,48,2020-03-12
12,3,0,57,2020-03-13
47,3,0,101,2020-03-14
29,3,0,127,2020-03-15
2,1,0,128,2020-03-16
45,0,3,170,2020-03-17
15,7,0,178,2020-03-18
15,-2,3,192,2020-03-19
13,1,0,204,2020-03-20
77,1,5,275,2020-03-21
73,6,4,338,2020-03-22
82,8,0,412,2020-03-23
90,2,3,497,2020-03-24
84,3,6,572,2020-03-25
71,7,2,634,2020-03-26
96,9,3,718,2020-03-27
272,14,4,972,2020-03-28
343,3,7,1305,2020-03-29
128,7,0,1426,2020-03-30
538,10,7,1947,2020-03-31
227,8,1,2165,2020-04-01
322,11,1,2475,2020-04-02
385,29,1,2830,2020-04-03
76,8,5,2893,2020-04-04
152,8,7,3030,2020-04-05
414,11,9,3424,2020-04-06
104,14,11,3503,2020-04-07
106,5,12,3592,2020-04-08
206,21,28,3749,2020-04-09
119,18,16,3834,2020-04-10
233,26,17,4024,2020-04-11
220,50,40,4154,2020-04-12
284,18,45,4375,2020-04-13
291,20,53,4593,2020-04-14
230,14,58,4751,2020-04-15
207,13,82,4863,2020-04-16
218,25,52,5004,2020-04-17
209,10,29,5174,2020-04-18
172,12,56,5278,2020-04-19
200,19,41,5418,2020-04-20
140,9,41,5508,2020-04-21
111,9,39,5571,2020-04-22
271,16,29,5797,2020-04-23
211,15,40,5953,2020-04-24
102,17,30,6008,2020-04-25
285,7,70,6216,2020-04-26
198,10,70,6334,2020-04-27
181,19,43,6453,2020-04-28
254,28,48,6631,2020-04-29
276,10,20,6877,2020-04-30
284,11,41,7109,2020-05-01
156,24,40,7201,2020-05-02
295,4,90,7402,2020-05-03
262,16,101,7547,2020-05-04
199,14,93,7639,2020-05-05
320,21,98,7840,2020-05-06
339,27,112,8040,2020-05-07
120,11,116,8033,2020-05-08
147,8,108,8064,2020-05-09
184,15,82,8151,2020-05-10
292,7,75,8361,2020-05-11
264,25,107,8493,2020-05-12
268,21,145,8595,2020-05-13
258,18,86,8749,2020-05-14
215,16,123,8825,2020-05-15
214,11,101,8927,2020-05-16
208,7,74,9054,2020-05-17
205,7,94,9158,2020-05-18
224,6,114,9262,2020-05-19
279,5,89,9447,2020-05-20
213,4,68,9588,2020-05-21
163,11,92,9648,2020-05-22
180,6,85,9737,2020-05-23
258,5,72,9918,2020-05-24
284,5,74,10123,2020-05-25
350,13,89,10371,2020-05-26
380,18,94,10639,2020-05-27
539,17,92,11069,2020-05-28
1046,21,122,11972,2020-05-29
590,8,88,12466,2020-05-30
862,7,101,13220,2020-05-31
552,3,70,13699,2020-06-01
359,6,84,13968,2020-06-02
751,8,90,14621,2020-06-03
634,10,95,15150,2020-06-04
244,3,82,15309,2020-06-05
714,7,111,15905,2020-06-06
