Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
1,0,0,1,2020-03-04
0,0,0,1,2020-03-05
4,0,0,5,2020-03-06
0,0,0,5,2020-03-07
6,0,0,11,2020-03-08
5,0,0,16,2020-03-09
6,0,0,22,2020-03-10
9,0,0,31,2020-03-11
18,1,0,48,2020-03-12
19,1,0,66,2020-03-13
35,1,0,100,2020-03-14
16,0,0,116,2020-03-15
58,1,13,160,2020-03-16
61,1,0,220,2020-03-17
13,0,0,233,2020-03-18
104,0,-12,349,2020-03-19
70,0,0,419,2020-03-20
111,0,0,530,2020-03-21
98,2,0,626,2020-03-22
115,1,0,740,2020-03-23
152,2,0,890,2020-03-24
150,4,6,1030,2020-03-25
170,2,0,1198,2020-03-26
168,0,0,1366,2020-03-27
249,2,0,1613,2020-03-28
224,4,0,1833,2020-03-29
193,9,0,2017,2020-03-30
256,2,0,2271,2020-03-31
243,10,40,2464,2020-04-01
392,14,9,2833,2020-04-02
437,14,0,3256,2020-04-03
244,8,60,3432,2020-04-04
475,15,18,3874,2020-04-05
311,13,28,4144,2020-04-06
435,22,29,4528,2020-04-07
357,30,31,4824,2020-04-08
370,15,62,5117,2020-04-09
380,7,34,5456,2020-04-10
401,27,57,5773,2020-04-11
318,24,64,6003,2020-04-12
260,13,48,6202,2020-04-13
268,18,131,6321,2020-04-14
380,23,50,6628,2020-04-15
336,28,106,6830,2020-04-16
461,18,92,7181,2020-04-17
363,15,115,7414,2020-04-18
545,13,59,7887,2020-04-19
306,20,93,8080,2020-04-20
263,21,164,8158,2020-04-21
313,25,216,8230,2020-04-22
342,28,227,8317,2020-04-23
381,40,204,8454,2020-04-24
381,30,182,8623,2020-04-25
344,11,139,8817,2020-04-26
285,27,201,8874,2020-04-27
316,34,189,8967,2020-04-28
422,28,370,8991,2020-04-29
237,20,211,8997,2020-04-30
228,7,255,8963,2020-05-01
270,13,271,8949,2020-05-02
318,14,183,9070,2020-05-03
313,20,150,9213,2020-05-04
425,18,185,9435,2020-05-05
309,17,375,9352,2020-05-06
307,22,207,9430,2020-05-07
319,21,322,9406,2020-05-08
285,9,253,9429,2020-05-09
345,15,261,9498,2020-05-10
330,11,118,9699,2020-05-11
595,28,315,9951,2020-05-12
283,22,279,9933,2020-05-13
411,22,286,10036,2020-05-14
401,24,222,10191,2020-05-15
241,8,257,10167,2020-05-16
272,10,276,10153,2020-05-17
356,11,177,10321,2020-05-18
383,12,275,10417,2020-05-19
471,14,280,10594,2020-05-20
404,10,269,10719,2020-05-21
476,10,279,10906,2020-05-22
312,11,246,10961,2020-05-23
395,3,217,11136,2020-05-24
305,11,82,11348,2020-05-25
443,17,744,11030,2020-05-26
399,4,310,11115,2020-05-27
352,10,230,11227,2020-05-28
330,13,132,11412,2020-05-29
416,10,324,11494,2020-05-30
215,3,255,11451,2020-05-31
379,10,178,11642,2020-06-01
230,18,277,11577,2020-06-02
292,23,288,11558,2020-06-03
361,2,213,11704,2020-06-04
362,20,183,11863,2020-06-05
576,16,231,12192,2020-06-06
