Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
2,0,0,2,2020-03-02
0,0,0,2,2020-03-03
3,0,0,5,2020-03-04
3,0,0,8,2020-03-05
5,0,0,13,2020-03-06
7,0,0,20,2020-03-07
10,0,0,30,2020-03-08
0,0,0,30,2020-03-09
11,0,0,41,2020-03-10
18,0,0,59,2020-03-11
0,0,0,59,2020-03-12
53,0,1,111,2020-03-13
57,0,1,167,2020-03-14
76,0,0,243,2020-03-15
86,0,1,328,2020-03-16
117,1,0,444,2020-03-17
0,1,0,443,2020-03-18
337,1,0,779,2020-03-19
235,3,2,1009,2020-03-20
260,6,0,1263,2020-03-21
320,2,0,1581,2020-03-22
460,9,0,2032,2020-03-23
302,10,17,2307,2020-03-24
633,10,0,2930,2020-03-25
549,17,21,3441,2020-03-26
724,16,0,4149,2020-03-27
902,24,0,5027,2020-03-28
792,19,0,5800,2020-03-29
446,21,0,6225,2020-03-30
1035,20,0,7240,2020-03-31
808,27,0,8021,2020-04-01
783,22,25,8757,2020-04-02
852,37,0,9572,2020-04-03
638,20,7,10183,2020-04-04
754,29,0,10908,2020-04-05
452,16,65,11279,2020-04-06
712,34,44,11913,2020-04-07
699,35,12,12565,2020-04-08
815,29,9,13342,2020-04-09
1516,26,28,14804,2020-04-10
515,35,33,15251,2020-04-11
598,34,11,15804,2020-04-12
349,31,0,16122,2020-04-13
514,32,70,16534,2020-04-14
643,32,36,17109,2020-04-15
750,30,110,17719,2020-04-16
181,28,26,17846,2020-04-17
663,30,91,18388,2020-04-18
521,27,0,18882,2020-04-19
657,21,0,19518,2020-04-20
516,27,307,19700,2020-04-21
603,23,226,20054,2020-04-22
371,35,58,20332,2020-04-23
444,34,27,20715,2020-04-24
595,26,49,21235,2020-04-25
472,23,52,21632,2020-04-26
163,25,28,21742,2020-04-27
295,20,32,21985,2020-04-28
183,25,81,22062,2020-04-29
540,16,49,22537,2020-04-30
306,18,128,22697,2020-05-01
-161,16,24,22496,2020-05-02
92,20,18,22550,2020-05-03
242,20,23,22749,2020-05-04
178,11,31,22885,2020-05-05
480,15,333,23017,2020-05-06
533,16,182,23352,2020-05-07
553,9,164,23732,2020-05-08
138,12,77,23781,2020-05-09
175,9,50,23897,2020-05-10
98,9,0,23986,2020-05-11
234,19,464,23737,2020-05-12
219,12,169,23775,2020-05-13
187,9,16,23937,2020-05-14
264,6,130,24065,2020-05-15
227,13,494,23785,2020-05-16
226,15,814,23182,2020-05-17
173,13,1794,21548,2020-05-18
223,16,1,21754,2020-05-19
228,16,21,21945,2020-05-20
252,14,0,22183,2020-05-21
288,12,1138,21321,2020-05-22
271,13,115,21464,2020-05-23
152,14,9844,11758,2020-05-24
165,14,273,11636,2020-05-25
219,12,274,11569,2020-05-26
285,14,253,11587,2020-05-27
304,13,288,11590,2020-05-28
350,14,274,11652,2020-05-29
257,13,275,11621,2020-05-30
297,14,223,11681,2020-05-31
200,14,143,11724,2020-06-01
195,12,317,11590,2020-06-02
366,11,210,11735,2020-06-03
331,8,244,11814,2020-06-04
377,10,203,11978,2020-06-05
