Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
1,0,0,1,2020-02-29
2,0,0,3,2020-03-01
0,0,0,3,2020-03-02
4,0,0,7,2020-03-03
1,0,0,8,2020-03-04
0,0,0,8,2020-03-05
0,0,0,8,2020-03-06
0,0,0,8,2020-03-07
7,0,0,15,2020-03-08
3,0,0,18,2020-03-09
6,0,0,24,2020-03-10
238,0,0,262,2020-03-11
0,0,0,262,2020-03-12
58,0,0,320,2020-03-13
17,0,4,333,2020-03-14
64,0,0,397,2020-03-15
38,0,0,435,2020-03-16
0,0,0,435,2020-03-17
13,0,0,448,2020-03-18
8,0,0,456,2020-03-19
10,0,6,460,2020-03-20
11,0,17,454,2020-03-21
13,0,6,461,2020-03-22
7,0,0,468,2020-03-23
25,0,8,485,2020-03-24
11,0,0,496,2020-03-25
12,0,2,506,2020-03-26
13,0,0,519,2020-03-27
28,1,2,544,2020-03-28
44,0,3,585,2020-03-29
59,0,3,641,2020-03-30
88,1,11,717,2020-03-31
54,0,9,762,2020-04-01
114,1,1,874,2020-04-02
126,0,21,979,2020-04-03
250,0,16,1213,2020-04-04
279,1,14,1477,2020-04-05
228,0,8,1697,2020-04-06
225,2,19,1901,2020-04-07
153,0,28,2026,2020-04-08
166,0,28,2164,2020-04-09
136,0,21,2279,2020-04-10
216,0,20,2475,2020-04-11
251,1,28,2697,2020-04-12
252,0,59,2890,2020-04-13
197,0,39,3048,2020-04-14
283,0,33,3298,2020-04-15
392,0,9,3681,2020-04-16
560,0,49,4192,2020-04-17
345,1,46,4490,2020-04-18
440,0,8,4922,2020-04-19
567,1,37,5451,2020-04-20
518,0,59,5910,2020-04-21
608,1,75,6442,2020-04-22
623,0,61,7004,2020-04-23
761,0,59,7706,2020-04-24
833,0,120,8419,2020-04-25
929,0,83,9265,2020-04-26
957,0,54,10168,2020-04-27
677,0,68,10777,2020-04-28
643,0,109,11311,2020-04-29
845,0,129,12027,2020-04-30
687,2,64,12648,2020-05-01
776,0,98,13326,2020-05-02
679,0,130,13875,2020-05-03
640,0,146,14369,2020-05-04
951,0,114,15206,2020-05-05
830,0,146,15890,2020-05-06
918,0,216,16592,2020-05-07
1311,0,84,17819,2020-05-08
1130,1,79,18869,2020-05-09
1189,1,304,19753,2020-05-10
1103,0,87,20769,2020-05-11
1526,0,179,22116,2020-05-12
1390,0,124,23382,2020-05-13
1733,0,213,24902,2020-05-14
1153,0,190,25865,2020-05-15
1547,1,242,27169,2020-05-16
1632,0,582,28219,2020-05-17
1365,0,529,29055,2020-05-18
1637,0,735,29957,2020-05-19
1491,1,966,30481,2020-05-20
1554,1,688,31346,2020-05-21
1830,2,605,32569,2020-05-22
1732,2,620,33679,2020-05-23
1501,2,657,34521,2020-05-24
1751,3,1193,35076,2020-05-25
1742,2,1481,35335,2020-05-26
1740,2,1439,35634,2020-05-27
1967,3,2116,35482,2020-05-28
1993,3,5205,32267,2020-05-29
2355,0,5235,29387,2020-05-30
1648,2,4451,26582,2020-05-31
1523,2,3147,24956,2020-06-01
1826,3,2599,24180,2020-06-02
1901,2,1506,24573,2020-06-03
1581,0,1926,24228,2020-06-04
