Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
2,0,0,2,2020-03-14
3,0,0,5,2020-03-15
8,0,0,13,2020-03-16
3,0,0,16,2020-03-17
3,0,0,19,2020-03-18
1,0,0,20,2020-03-19
1,0,0,21,2020-03-20
3,0,0,24,2020-03-21
7,0,0,31,2020-03-22
2,1,0,32,2020-03-23
28,0,0,60,2020-03-24
2,0,0,62,2020-03-25
8,0,0,70,2020-03-26
15,0,1,84,2020-03-27
2,0,0,86,2020-03-28
3,0,0,89,2020-03-29
3,0,0,92,2020-03-30
12,0,0,104,2020-03-31
6,0,5,105,2020-04-01
13,0,4,114,2020-04-02
1,0,0,115,2020-04-03
9,0,6,118,2020-04-04
5,0,7,116,2020-04-05
5,0,0,121,2020-04-06
20,2,1,138,2020-04-07
19,2,6,149,2020-04-08
40,1,7,181,2020-04-09
3,1,1,182,2020-04-10
23,0,14,191,2020-04-11
33,0,6,218,2020-04-12
79,0,1,296,2020-04-13
15,1,4,306,2020-04-14
10,0,3,313,2020-04-15
36,1,5,343,2020-04-16
26,2,8,359,2020-04-17
31,1,5,384,2020-04-18
30,0,9,405,2020-04-19
51,0,9,447,2020-04-20
37,3,21,460,2020-04-21
6,3,5,458,2020-04-22
26,0,10,474,2020-04-23
39,1,21,491,2020-04-24
34,0,3,522,2020-04-25
28,1,3,546,2020-04-26
32,1,1,576,2020-04-27
17,1,35,557,2020-04-28
10,0,31,536,2020-04-29
9,0,17,528,2020-04-30
7,0,22,513,2020-05-01
7,0,27,493,2020-05-02
10,0,38,465,2020-05-03
28,0,45,448,2020-05-04
4,4,22,426,2020-05-05
1,0,87,340,2020-05-06
4,0,43,301,2020-05-07
1,1,28,273,2020-05-08
1,1,61,212,2020-05-09
8,0,31,189,2020-05-10
14,0,2,201,2020-05-11
11,0,2,210,2020-05-12
24,1,14,219,2020-05-13
8,0,0,227,2020-05-14
18,0,19,226,2020-05-15
10,0,1,235,2020-05-16
23,0,22,236,2020-05-17
7,0,23,220,2020-05-18
3,0,18,205,2020-05-19
1,0,15,191,2020-05-20
14,0,3,202,2020-05-21
1,0,0,203,2020-05-22
21,0,10,214,2020-05-23
7,0,3,218,2020-05-24
6,1,6,217,2020-05-25
0,0,0,217,2020-05-26
9,0,3,223,2020-05-27
1,0,7,217,2020-05-28
4,0,19,202,2020-05-29
12,0,9,205,2020-05-30
6,0,12,199,2020-05-31
13,0,2,210,2020-06-01
27,0,0,237,2020-06-02
13,0,4,246,2020-06-03
19,0,24,241,2020-06-04
5,0,3,243,2020-06-05
11,0,2,252,2020-06-06
36,0,8,280,2020-06-07
40,1,6,313,2020-06-08
29,0,22,320,2020-06-09
6,0,0,326,2020-06-10
29,0,1,354,2020-06-11
