Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
2,0,0,2,2020-01-31
0,0,0,2,2020-02-01
0,0,0,2,2020-02-02
0,0,0,2,2020-02-03
0,0,0,2,2020-02-04
0,0,0,2,2020-02-05
0,0,0,2,2020-02-06
0,0,0,2,2020-02-07
0,0,0,2,2020-02-08
0,0,0,2,2020-02-09
0,0,0,2,2020-02-10
0,0,0,2,2020-02-11
0,0,2,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
1,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
1,0,0,2,2020-03-05
9,0,0,11,2020-03-06
0,0,0,11,2020-03-07
4,0,1,14,2020-03-08
0,0,0,14,2020-03-09
3,0,0,17,2020-03-10
0,0,0,17,2020-03-11
8,0,0,25,2020-03-12
17,0,0,42,2020-03-13
14,0,5,51,2020-03-14
4,0,0,55,2020-03-15
27,0,0,82,2020-03-16
24,0,0,106,2020-03-17
33,0,0,139,2020-03-18
52,1,1,189,2020-03-19
54,0,0,243,2020-03-20
53,0,3,293,2020-03-21
61,0,4,350,2020-03-22
71,0,0,421,2020-03-23
57,0,6,472,2020-03-24
163,2,7,626,2020-03-25
182,0,9,799,2020-03-26
196,1,7,987,2020-03-27
228,0,4,1211,2020-03-28
270,4,15,1462,2020-03-29
302,1,2,1761,2020-03-30
501,8,55,2199,2020-03-31
440,7,69,2563,2020-04-01
771,6,45,3283,2020-04-02
601,4,46,3834,2020-04-03
582,9,52,4355,2020-04-04
658,2,22,4989,2020-04-05
954,2,51,5890,2020-04-06
1154,11,88,6945,2020-04-07
1175,5,86,8029,2020-04-08
1459,13,118,9357,2020-04-09
1786,18,97,11028,2020-04-10
1667,12,250,12433,2020-04-11
2186,24,246,14349,2020-04-12
2558,18,179,16710,2020-04-13
2774,22,224,19238,2020-04-14
3388,28,292,22306,2020-04-15
3448,34,318,25402,2020-04-16
4070,41,286,29145,2020-04-17
4785,40,467,33423,2020-04-18
6060,48,234,39201,2020-04-19
4268,44,155,43270,2020-04-20
5642,51,427,48434,2020-04-21
5236,57,547,53066,2020-04-22
4774,42,471,57327,2020-04-23
5849,60,677,62439,2020-04-24
5966,66,682,67657,2020-04-25
6361,66,517,73435,2020-04-26
6198,47,579,79007,2020-04-27
6411,73,1110,84235,2020-04-28
5841,105,1830,88141,2020-04-29
7099,101,1333,93806,2020-04-30
7933,96,1601,100042,2020-05-01
9623,53,1793,107819,2020-05-02
10633,58,1626,116768,2020-05-03
10581,76,1456,125817,2020-05-04
10102,95,1770,134054,2020-05-05
10559,86,1462,143065,2020-05-06
11231,88,2476,151732,2020-05-07
10699,98,2805,159528,2020-05-08
10817,104,5308,164933,2020-05-09
11012,88,2390,173467,2020-05-10
11656,94,5495,179534,2020-05-11
10899,107,3711,186615,2020-05-12
10028,96,4491,192056,2020-05-13
9974,93,5527,196410,2020-05-14
10598,113,4696,202199,2020-05-15
9200,119,4940,206340,2020-05-16
9709,94,4207,211748,2020-05-17
8926,91,2836,217747,2020-05-18
9263,115,5921,220974,2020-05-19
8764,135,9262,220341,2020-05-20
8849,127,7289,221774,2020-05-21
8894,150,7144,223374,2020-05-22
9434,139,8111,224558,2020-05-23
8599,153,5363,227641,2020-05-24
8946,92,5499,230996,2020-05-25
8915,174,12331,227406,2020-05-26
8338,161,11079,224504,2020-05-27
8371,174,8785,223916,2020-05-28
8572,232,8264,223992,2020-05-29
8952,181,8212,224551,2020-05-30
9268,138,4414,229267,2020-05-31
