Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
1,0,0,1,2020-03-14
0,0,0,1,2020-03-15
4,0,0,5,2020-03-16
2,0,0,7,2020-03-17
1,0,0,8,2020-03-18
0,0,0,8,2020-03-19
9,0,0,17,2020-03-20
0,0,0,17,2020-03-21
2,0,0,19,2020-03-22
17,0,0,36,2020-03-23
4,0,0,40,2020-03-24
1,0,0,41,2020-03-25
9,0,0,50,2020-03-26
4,0,0,54,2020-03-27
6,0,0,60,2020-03-28
10,0,0,70,2020-03-29
0,0,0,70,2020-03-30
5,0,0,75,2020-03-31
7,0,0,82,2020-04-01
2,0,0,84,2020-04-02
5,0,0,89,2020-04-03
13,0,0,102,2020-04-04
2,0,4,100,2020-04-05
1,0,0,101,2020-04-06
0,0,3,98,2020-04-07
5,0,0,103,2020-04-08
0,0,0,103,2020-04-09
8,0,0,111,2020-04-10
2,0,11,102,2020-04-11
6,0,7,101,2020-04-12
1,0,17,85,2020-04-13
7,0,7,85,2020-04-14
2,0,5,82,2020-04-15
2,0,6,78,2020-04-16
5,0,5,78,2020-04-17
1,0,4,75,2020-04-18
3,0,7,71,2020-04-19
0,0,0,71,2020-04-20
3,0,8,66,2020-04-21
3,0,0,69,2020-04-22
1,0,3,67,2020-04-23
22,0,0,89,2020-04-24
7,0,1,95,2020-04-25
8,0,4,99,2020-04-26
16,0,1,114,2020-04-27
5,0,2,117,2020-04-28
13,0,3,127,2020-04-29
18,0,6,139,2020-04-30
6,0,5,140,2020-05-01
6,0,11,135,2020-05-02
4,0,4,135,2020-05-03
2,0,4,133,2020-05-04
0,0,1,132,2020-05-05
7,0,1,138,2020-05-06
3,0,3,138,2020-05-07
2,0,3,137,2020-05-08
7,0,4,140,2020-05-09
4,0,0,144,2020-05-10
1,0,10,135,2020-05-11
1,0,3,133,2020-05-12
1,0,11,123,2020-05-13
0,0,4,119,2020-05-14
0,0,9,110,2020-05-15
2,0,1,111,2020-05-16
3,0,19,95,2020-05-17
5,0,6,94,2020-05-18
11,0,6,99,2020-05-19
6,0,7,98,2020-05-20
6,0,1,103,2020-05-21
1,0,5,99,2020-05-22
4,0,5,98,2020-05-23
2,0,10,90,2020-05-24
9,0,1,98,2020-05-25
3,0,6,95,2020-05-26
7,0,1,101,2020-05-27
3,0,0,104,2020-05-28
6,0,2,108,2020-05-29
4,1,3,108,2020-05-30
11,0,6,113,2020-05-31
7,0,6,114,2020-06-01
7,1,7,113,2020-06-02
13,0,2,124,2020-06-03
13,0,9,128,2020-06-04
10,0,2,136,2020-06-05
11,0,1,146,2020-06-06
8,0,7,147,2020-06-07
12,0,7,152,2020-06-08
12,0,3,161,2020-06-09
13,0,7,167,2020-06-10
18,0,6,179,2020-06-11
