Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
1,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
4,0,0,5,2020-03-05
0,0,0,5,2020-03-06
0,0,0,5,2020-03-07
6,0,0,11,2020-03-08
4,0,0,15,2020-03-09
5,0,1,19,2020-03-10
1,0,0,20,2020-03-11
24,0,0,44,2020-03-12
41,0,0,85,2020-03-13
17,0,0,102,2020-03-14
0,0,0,102,2020-03-15
15,0,1,116,2020-03-16
53,0,4,165,2020-03-17
0,0,0,165,2020-03-18
103,0,0,268,2020-03-19
70,0,2,336,2020-03-20
48,0,8,376,2020-03-21
119,0,0,495,2020-03-22
51,0,0,546,2020-03-23
205,1,12,738,2020-03-24
133,1,1,869,2020-03-25
112,1,4,976,2020-03-26
92,0,2,1066,2020-03-27
99,1,2,1162,2020-03-28
96,4,29,1225,2020-03-29
154,0,49,1330,2020-03-30
110,2,50,1388,2020-03-31
157,6,99,1440,2020-04-01
165,5,64,1536,2020-04-02
154,4,23,1663,2020-04-03
140,4,69,1730,2020-04-04
223,5,68,1880,2020-04-05
203,4,63,2016,2020-04-06
190,3,64,2139,2020-04-07
137,0,16,2260,2020-04-08
355,3,35,2577,2020-04-09
364,3,19,2919,2020-04-10
382,5,35,3261,2020-04-11
429,7,41,3642,2020-04-12
472,6,44,4064,2020-04-13
435,8,84,4407,2020-04-14
493,6,42,4852,2020-04-15
518,4,59,5307,2020-04-16
762,4,59,6006,2020-04-17
1132,5,280,6853,2020-04-18
1088,5,69,7867,2020-04-19
1122,6,92,8891,2020-04-20
1147,6,150,9882,2020-04-21
1141,5,172,10846,2020-04-22
1158,7,113,11884,2020-04-23
1172,6,124,12926,2020-04-24
1197,9,166,13948,2020-04-25
1223,3,142,15026,2020-04-26
1289,5,174,16136,2020-04-27
1266,8,253,17141,2020-04-28
1325,5,169,18292,2020-04-29
1351,5,210,19428,2020-04-30
1344,7,392,20373,2020-05-01
1362,7,210,21518,2020-05-02
1552,8,369,22693,2020-05-03
1645,7,342,23989,2020-05-04
1595,9,955,24620,2020-05-05
1687,9,1352,24946,2020-05-06
1793,10,1015,25714,2020-05-07
1701,10,1322,26083,2020-05-08
1704,10,1024,26753,2020-05-09
1912,7,1313,27345,2020-05-10
1966,9,1280,28022,2020-05-11
1911,9,2520,27404,2020-05-12
1905,9,2365,26935,2020-05-13
2039,10,1429,27535,2020-05-14
2307,9,2818,27015,2020-05-15
2840,10,1797,28048,2020-05-16
2736,10,2056,28718,2020-05-17
2593,8,3026,28277,2020-05-18
2509,9,2886,27891,2020-05-19
2691,10,1844,28728,2020-05-20
2532,12,2562,28686,2020-05-21
2642,13,2963,28352,2020-05-22
2442,15,2233,28546,2020-05-23
2399,11,2284,28650,2020-05-24
2235,9,2148,28728,2020-05-25
1931,12,2782,27865,2020-05-26
1815,14,2572,27094,2020-05-27
1644,16,3531,25191,2020-05-28
1581,17,2460,24295,2020-05-29
1618,22,1870,24021,2020-05-30
1877,23,3559,22316,2020-05-31
1881,22,1864,22311,2020-06-01
