Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
1,0,0,1,2020-03-02
1,0,0,2,2020-03-03
2,0,0,4,2020-03-04
0,0,0,4,2020-03-05
0,0,0,4,2020-03-06
0,0,0,4,2020-03-07
0,0,1,3,2020-03-08
0,0,0,3,2020-03-09
0,0,0,3,2020-03-10
0,0,0,3,2020-03-11
0,0,0,3,2020-03-12
6,0,0,9,2020-03-13
0,0,0,9,2020-03-14
14,0,0,23,2020-03-15
0,0,1,22,2020-03-16
2,0,0,24,2020-03-17
5,0,0,29,2020-03-18
0,0,0,29,2020-03-19
7,0,0,36,2020-03-20
9,0,3,42,2020-03-21
20,0,0,62,2020-03-22
12,0,0,74,2020-03-23
7,0,3,78,2020-03-24
13,0,1,90,2020-03-25
6,0,0,96,2020-03-26
14,0,2,108,2020-03-27
11,0,7,112,2020-03-28
12,0,9,115,2020-03-29
20,0,0,135,2020-03-30
13,0,13,135,2020-03-31
15,1,5,144,2020-04-01
5,0,10,139,2020-04-02
12,0,11,140,2020-04-03
12,1,6,145,2020-04-04
3,0,10,138,2020-04-05
4,0,10,132,2020-04-06
11,0,13,130,2020-04-07
7,0,8,129,2020-04-08
6,0,10,125,2020-04-09
15,0,14,126,2020-04-10
13,0,15,124,2020-04-11
2,0,19,107,2020-04-12
11,0,7,111,2020-04-13
8,0,5,114,2020-04-14
15,0,7,122,2020-04-15
21,0,4,139,2020-04-16
7,0,4,142,2020-04-17
8,1,13,136,2020-04-18
17,0,9,144,2020-04-19
10,2,15,137,2020-04-20
35,0,7,165,2020-04-21
30,1,11,183,2020-04-22
37,0,4,216,2020-04-23
66,1,5,276,2020-04-24
69,0,14,331,2020-04-25
57,2,7,379,2020-04-26
65,0,1,443,2020-04-27
87,0,12,518,2020-04-28
59,0,19,558,2020-04-29
51,0,19,590,2020-04-30
91,0,22,659,2020-05-01
91,0,12,738,2020-05-02
67,0,4,801,2020-05-03
89,1,43,846,2020-05-04
58,1,55,848,2020-05-05
104,1,23,928,2020-05-06
59,1,69,917,2020-05-07
59,0,49,927,2020-05-08
83,4,32,974,2020-05-09
75,2,7,1040,2020-05-10
177,0,65,1152,2020-05-11
109,0,27,1234,2020-05-12
110,2,40,1302,2020-05-13
84,2,60,1324,2020-05-14
121,2,48,1395,2020-05-15
119,0,59,1455,2020-05-16
51,0,24,1482,2020-05-17
64,1,103,1442,2020-05-18
73,4,57,1454,2020-05-19
97,0,53,1498,2020-05-20
98,3,65,1528,2020-05-21
97,0,60,1565,2020-05-22
67,1,105,1526,2020-05-23
71,1,40,1556,2020-05-24
83,0,59,1580,2020-05-25
31,1,50,1560,2020-05-26
92,2,21,1629,2020-05-27
95,1,100,1623,2020-05-28
81,2,52,1650,2020-05-29
106,1,23,1732,2020-05-30
110,0,40,1802,2020-05-31
94,0,57,1839,2020-06-01
97,1,96,1839,2020-06-02
96,2,109,1824,2020-06-03
89,0,99,1814,2020-06-04
134,0,114,1834,2020-06-05
94,2,236,1690,2020-06-06
79,2,76,1691,2020-06-07
99,0,111,1679,2020-06-08
89,3,110,1655,2020-06-09
