Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
0,0,0,1,2020-03-07
0,0,0,1,2020-03-08
0,0,0,1,2020-03-09
4,0,0,5,2020-03-10
7,0,0,12,2020-03-11
7,0,0,19,2020-03-12
16,0,0,35,2020-03-13
11,0,0,46,2020-03-14
2,0,0,48,2020-03-15
7,0,1,54,2020-03-16
10,0,0,64,2020-03-17
18,0,0,82,2020-03-18
20,0,0,102,2020-03-19
32,1,0,133,2020-03-20
36,0,0,169,2020-03-21
51,1,0,219,2020-03-22
27,1,0,245,2020-03-23
54,0,14,285,2020-03-24
81,1,0,365,2020-03-25
0,-3,-15,383,2020-03-26
73,0,0,456,2020-03-27
202,9,0,649,2020-03-28
82,3,0,728,2020-03-29
44,3,0,769,2020-03-30
115,0,0,884,2020-03-31
160,12,0,1032,2020-04-01
111,3,0,1140,2020-04-02
305,8,0,1437,2020-04-03
148,5,0,1580,2020-04-04
284,7,0,1857,2020-04-05
292,7,0,2142,2020-04-06
247,3,0,2386,2020-04-07
219,4,0,2601,2020-04-08
201,1,0,2801,2020-04-09
238,5,0,3034,2020-04-10
275,3,0,3306,2020-04-11
250,6,0,3550,2020-04-12
424,5,0,3969,2020-04-13
411,9,0,4371,2020-04-14
408,5,0,4774,2020-04-15
445,4,0,5215,2020-04-16
372,7,534,5046,2020-04-17
304,7,103,5240,2020-04-18
324,5,116,5443,2020-04-19
312,3,117,5635,2020-04-20
260,5,107,5783,2020-04-21
254,4,48,5985,2020-04-22
132,5,42,6070,2020-04-23
207,5,27,6245,2020-04-24
296,7,58,6476,2020-04-25
263,5,30,6704,2020-04-26
233,6,27,6904,2020-04-27
222,6,51,7069,2020-04-28
227,5,32,7259,2020-04-29
285,6,51,7487,2020-04-30
0,0,0,7487,2020-05-01
353,10,83,7747,2020-05-02
102,4,125,7720,2020-05-03
93,4,23,7786,2020-05-04
120,3,149,7754,2020-05-05
114,3,248,7617,2020-05-06
57,3,189,7482,2020-05-07
95,3,293,7281,2020-05-08
89,6,279,7085,2020-05-09
0,0,0,7085,2020-05-10
144,3,558,6668,2020-05-11
67,2,310,6423,2020-05-12
52,2,224,6249,2020-05-13
79,2,260,6066,2020-05-14
64,1,217,5912,2020-05-15
58,3,178,5789,2020-05-16
114,2,234,5667,2020-05-17
89,1,86,5669,2020-05-18
34,3,105,5595,2020-05-19
100,1,163,5531,2020-05-20
86,2,303,5312,2020-05-21
105,0,171,5246,2020-05-22
68,1,158,5155,2020-05-23
67,0,158,5064,2020-05-24
34,1,63,5034,2020-05-25
34,0,147,4921,2020-05-26
48,1,210,4758,2020-05-27
25,1,161,4621,2020-05-28
54,1,86,4588,2020-05-29
27,0,82,4533,2020-05-30
31,1,92,4471,2020-05-31
18,1,28,4460,2020-06-01
24,1,40,4443,2020-06-02
69,0,86,4426,2020-06-03
48,1,58,4415,2020-06-04
96,1,21,4489,2020-06-05
74,1,4125,437,2020-06-06
