Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
0,0,0,0,2020-03-25
0,0,0,0,2020-03-26
0,0,0,0,2020-03-27
0,0,0,0,2020-03-28
0,0,0,0,2020-03-29
0,0,0,0,2020-03-30
1,0,0,1,2020-03-31
1,0,0,2,2020-04-01
0,0,0,2,2020-04-02
0,0,0,2,2020-04-03
2,0,0,4,2020-04-04
2,0,0,6,2020-04-05
0,0,0,6,2020-04-06
0,0,0,6,2020-04-07
1,0,0,7,2020-04-08
0,0,0,7,2020-04-09
1,0,0,8,2020-04-10
0,0,0,8,2020-04-11
2,0,0,10,2020-04-12
0,0,0,10,2020-04-13
1,0,0,11,2020-04-14
2,0,0,13,2020-04-15
2,0,0,15,2020-04-16
11,0,0,26,2020-04-17
4,0,0,30,2020-04-18
5,0,6,29,2020-04-19
8,0,0,37,2020-04-20
7,0,0,44,2020-04-21
11,0,0,55,2020-04-22
3,1,4,53,2020-04-23
18,1,0,70,2020-04-24
0,0,0,70,2020-04-25
11,2,0,79,2020-04-26
0,0,0,79,2020-04-27
11,0,2,88,2020-04-28
0,0,0,88,2020-04-29
20,3,9,96,2020-04-30
12,0,0,108,2020-05-01
19,1,0,126,2020-05-02
11,0,8,129,2020-05-03
12,1,8,132,2020-05-04
21,2,6,145,2020-05-05
26,3,11,157,2020-05-06
6,2,0,161,2020-05-07
26,1,0,186,2020-05-08
34,1,4,215,2020-05-09
16,0,9,222,2020-05-10
31,1,5,247,2020-05-11
0,0,0,247,2020-05-12
49,7,25,264,2020-05-13
21,0,0,285,2020-05-14
39,1,0,323,2020-05-15
15,2,9,327,2020-05-16
43,3,35,332,2020-05-17
14,1,7,338,2020-05-18
15,0,19,334,2020-05-19
36,1,38,331,2020-05-20
15,1,0,345,2020-05-21
21,3,25,338,2020-05-22
15,1,11,341,2020-05-23
86,1,0,426,2020-05-24
28,2,52,400,2020-05-25
19,2,4,413,2020-05-26
28,1,0,440,2020-05-27
30,0,64,406,2020-05-28
17,0,25,398,2020-05-29
23,1,29,391,2020-05-30
9,0,39,361,2020-05-31
4,0,21,344,2020-06-01
31,0,5,370,2020-06-02
13,1,11,371,2020-06-03
5,0,0,376,2020-06-04
15,0,89,302,2020-06-05
17,1,20,298,2020-06-06
23,0,8,313,2020-06-07
32,1,3,341,2020-06-08
24,1,10,354,2020-06-09
37,0,16,375,2020-06-10
23,0,5,393,2020-06-11
