Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
1,0,0,1,2020-01-23
2,0,0,3,2020-01-24
0,0,0,3,2020-01-25
1,0,0,4,2020-01-26
1,0,0,5,2020-01-27
2,0,0,7,2020-01-28
0,0,0,7,2020-01-29
3,0,0,10,2020-01-30
3,0,0,13,2020-01-31
3,0,0,16,2020-02-01
2,0,0,18,2020-02-02
0,0,0,18,2020-02-03
6,0,0,24,2020-02-04
4,0,0,28,2020-02-05
0,0,0,28,2020-02-06
2,0,0,30,2020-02-07
3,0,2,31,2020-02-08
7,0,0,38,2020-02-09
5,0,0,43,2020-02-10
2,0,7,38,2020-02-11
3,0,6,35,2020-02-12
8,0,0,43,2020-02-13
9,0,2,50,2020-02-14
5,0,1,54,2020-02-15
3,0,0,57,2020-02-16
2,0,6,53,2020-02-17
4,0,5,52,2020-02-18
3,0,5,50,2020-02-19
0,0,0,50,2020-02-20
1,0,3,48,2020-02-21
0,0,0,48,2020-02-22
4,0,14,38,2020-02-23
0,0,0,38,2020-02-24
2,0,2,38,2020-02-25
2,0,9,31,2020-02-26
0,0,0,31,2020-02-27
0,0,0,31,2020-02-28
9,0,10,30,2020-02-29
4,0,0,34,2020-03-01
2,0,6,30,2020-03-02
2,0,0,32,2020-03-03
0,0,0,32,2020-03-04
7,0,0,39,2020-03-05
13,0,0,52,2020-03-06
8,0,0,60,2020-03-07
12,0,0,72,2020-03-08
0,0,0,72,2020-03-09
10,0,0,82,2020-03-10
18,0,18,82,2020-03-11
0,0,0,82,2020-03-12
22,0,1,103,2020-03-13
12,0,8,107,2020-03-14
14,0,0,121,2020-03-15
17,0,4,134,2020-03-16
23,0,5,152,2020-03-17
47,0,0,199,2020-03-18
32,0,0,231,2020-03-19
40,0,10,261,2020-03-20
47,2,16,290,2020-03-21
23,0,4,309,2020-03-22
54,0,0,363,2020-03-23
49,0,12,400,2020-03-24
73,0,4,469,2020-03-25
52,0,12,509,2020-03-26
49,0,11,547,2020-03-27
70,0,15,602,2020-03-28
42,1,14,629,2020-03-29
35,0,16,648,2020-03-30
47,0,12,683,2020-03-31
74,0,5,752,2020-04-01
49,1,21,779,2020-04-02
65,1,16,827,2020-04-03
75,1,15,886,2020-04-04
120,0,23,983,2020-04-05
66,0,24,1025,2020-04-06
106,0,33,1098,2020-04-07
142,0,29,1211,2020-04-08
287,0,54,1444,2020-04-09
198,1,32,1609,2020-04-10
191,1,36,1763,2020-04-11
233,0,32,1964,2020-04-12
386,1,26,2323,2020-04-13
334,1,25,2631,2020-04-14
447,0,41,3037,2020-04-15
728,0,31,3734,2020-04-16
623,1,25,4331,2020-04-17
942,0,32,5241,2020-04-18
596,0,28,5809,2020-04-19
1426,0,33,7202,2020-04-20
1111,0,38,8275,2020-04-21
1016,1,57,9233,2020-04-22
1037,0,28,10242,2020-04-23
897,0,32,11107,2020-04-24
618,0,46,11679,2020-04-25
931,0,58,12552,2020-04-26
799,2,35,13314,2020-04-27
528,0,33,13809,2020-04-28
690,0,60,14439,2020-04-29
528,1,56,14910,2020-04-30
932,1,24,15817,2020-05-01
447,1,79,16184,2020-05-02
657,1,61,16779,2020-05-03
573,0,49,17303,2020-05-04
632,0,62,17873,2020-05-05
788,2,115,18544,2020-05-06
741,0,78,19207,2020-05-07
768,0,328,19647,2020-05-08
753,0,256,20144,2020-05-09
876,0,425,20595,2020-05-10
486,1,504,20576,2020-05-11
849,0,626,20799,2020-05-12
675,0,958,20516,2020-05-13
752,0,1164,20104,2020-05-14
793,0,1275,19622,2020-05-15
465,1,1094,18992,2020-05-16
682,0,998,18676,2020-05-17
305,0,495,18486,2020-05-18
451,0,530,18407,2020-05-19
570,0,842,18135,2020-05-20
448,1,910,17672,2020-05-21
614,0,878,17408,2020-05-22
642,0,887,17163,2020-05-23
548,0,994,16717,2020-05-24
344,0,862,16199,2020-05-25
383,0,706,15876,2020-05-26
533,0,832,15577,2020-05-27
373,0,1018,14932,2020-05-28
611,0,1337,14206,2020-05-29
506,0,1096,13616,2020-05-30
518,0,972,13162,2020-05-31
408,1,767,12802,2020-06-01
544,0,709,12637,2020-06-02
569,0,407,12799,2020-06-03
517,0,322,12994,2020-06-04
261,0,305,12950,2020-06-05
344,1,350,12943,2020-06-06
383,0,327,12999,2020-06-07
386,0,482,12903,2020-06-08
218,0,509,12612,2020-06-09
451,0,655,12408,2020-06-10
422,0,754,12076,2020-06-11
463,0,754,11785,2020-06-12
347,1,768,11363,2020-06-13
407,0,781,10989,2020-06-14
214,0,777,10426,2020-06-15
151,0,797,9780,2020-06-16
247,0,775,9252,2020-06-17
257,0,774,8735,2020-06-18
142,0,747,8130,2020-06-19
218,0,765,7583,2020-06-20
262,0,718,7127,2020-06-21
218,0,648,6697,2020-06-22
119,0,405,6411,2020-06-23
191,0,304,6298,2020-06-24
113,0,305,6106,2020-06-25
219,0,221,6104,2020-06-26
291,0,338,6057,2020-06-27
213,0,345,5925,2020-06-28
202,0,477,5650,2020-06-29
246,0,515,5381,2020-06-30
215,0,511,5085,2020-07-01
188,0,418,4855,2020-07-02
169,0,340,4684,2020-07-03
185,0,348,4521,2020-07-04
136,0,324,4333,2020-07-05
183,0,276,4240,2020-07-06
157,0,285,4112,2020-07-07
158,0,321,3949,2020-07-08
125,0,322,3752,2020-07-09
191,0,135,3808,2020-07-10
169,0,246,3731,2020-07-11
178,0,259,3650,2020-07-12
322,0,256,3716,2020-07-13
347,1,196,3866,2020-07-14
248,0,251,3863,2020-07-15
248,0,268,3843,2020-07-16
327,0,321,3849,2020-07-17
202,0,256,3795,2020-07-18
257,0,253,3799,2020-07-19
123,0,285,3637,2020-07-20
399,0,213,3823,2020-07-21
310,0,211,3922,2020-07-22
354,0,220,4056,2020-07-23
277,0,157,4176,2020-07-24
513,0,180,4509,2020-07-25
481,0,169,4821,2020-07-26
469,0,171,5119,2020-07-27
359,0,201,5277,2020-07-28
334,0,205,5406,2020-07-29
278,0,210,5474,2020-07-30
396,0,183,5687,2020-07-31
