Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
0,0,0,1,2020-03-07
2,0,0,3,2020-03-08
0,0,0,3,2020-03-09
4,0,0,7,2020-03-10
3,0,0,10,2020-03-11
6,0,0,16,2020-03-12
16,0,0,32,2020-03-13
12,0,0,44,2020-03-14
10,0,0,54,2020-03-15
9,0,0,63,2020-03-16
9,0,0,72,2020-03-17
33,1,0,104,2020-03-18
18,0,0,122,2020-03-19
14,0,0,136,2020-03-20
41,0,0,177,2020-03-21
7,-1,7,178,2020-03-22
1,0,0,179,2020-03-23
18,0,0,197,2020-03-24
12,0,0,209,2020-03-25
10,0,-5,224,2020-03-26
43,0,0,267,2020-03-27
23,0,0,290,2020-03-28
22,0,0,312,2020-03-29
22,0,5,329,2020-03-30
27,0,-4,360,2020-03-31
37,1,0,396,2020-04-01
26,0,2,420,2020-04-02
24,0,5,439,2020-04-03
21,0,0,460,2020-04-04
14,0,0,474,2020-04-05
49,1,-2,524,2020-04-06
47,0,5,566,2020-04-07
101,0,3,664,2020-04-08
19,0,7,676,2020-04-09
14,0,0,690,2020-04-10
13,0,0,703,2020-04-11
14,0,0,717,2020-04-12
27,0,84,660,2020-04-13
66,0,6,720,2020-04-14
28,4,38,706,2020-04-15
114,2,16,802,2020-04-16
72,1,8,865,2020-04-17
40,2,38,865,2020-04-18
72,1,16,920,2020-04-19
12,1,22,909,2020-04-20
26,1,7,927,2020-04-21
45,0,26,946,2020-04-22
81,1,4,1022,2020-04-23
35,2,67,988,2020-04-24
13,0,31,970,2020-04-25
6,1,8,967,2020-04-26
2,0,9,960,2020-04-27
3,2,20,941,2020-04-28
7,2,61,885,2020-04-29
5,1,40,849,2020-04-30
7,0,34,822,2020-05-01
4,1,50,775,2020-05-02
1,0,11,765,2020-05-03
5,1,24,745,2020-05-04
8,0,98,655,2020-05-05
8,0,21,642,2020-05-06
16,1,44,613,2020-05-07
10,0,99,524,2020-05-08
0,0,14,510,2020-05-09
2,0,22,490,2020-05-10
0,0,18,472,2020-05-11
8,1,24,455,2020-05-12
4,0,77,382,2020-05-13
8,0,52,338,2020-05-14
3,0,19,322,2020-05-15
13,1,20,314,2020-05-16
1,0,12,303,2020-05-17
1,0,22,282,2020-05-18
0,0,7,275,2020-05-19
1,0,39,237,2020-05-20
6,0,14,229,2020-05-21
1,0,11,219,2020-05-22
1,0,24,196,2020-05-23
5,0,21,180,2020-05-24
2,0,6,176,2020-05-25
2,0,15,163,2020-05-26
2,0,5,160,2020-05-27
5,0,5,160,2020-05-28
0,0,6,154,2020-05-29
1,0,18,137,2020-05-30
0,0,10,127,2020-05-31
1,0,2,126,2020-06-01
0,0,4,122,2020-06-02
3,0,3,122,2020-06-03
1,0,1,122,2020-06-04
0,0,3,119,2020-06-05
2,0,0,121,2020-06-06
0,0,10,111,2020-06-07
2,0,7,106,2020-06-08
1,0,6,101,2020-06-09
2,0,2,101,2020-06-10
8,0,5,104,2020-06-11
