Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
2,0,0,2,2020-03-05
5,0,0,7,2020-03-06
0,0,0,7,2020-03-07
9,0,0,16,2020-03-08
0,0,0,16,2020-03-09
15,0,0,31,2020-03-10
26,0,0,57,2020-03-11
32,0,0,89,2020-03-12
52,0,0,141,2020-03-13
40,1,0,180,2020-03-14
38,0,0,218,2020-03-15
34,0,0,252,2020-03-16
22,0,0,274,2020-03-17
0,0,0,274,2020-03-18
11,0,0,285,2020-03-19
55,0,0,340,2020-03-20
42,0,0,382,2020-03-21
31,1,0,412,2020-03-22
28,1,0,439,2020-03-23
38,1,0,476,2020-03-24
48,1,10,513,2020-03-25
34,1,0,546,2020-03-26
70,3,0,613,2020-03-27
52,0,0,665,2020-03-28
46,2,0,709,2020-03-29
26,0,0,735,2020-03-30
46,4,0,777,2020-03-31
39,0,0,816,2020-04-01
56,2,60,810,2020-04-02
37,3,0,844,2020-04-03
43,2,9,876,2020-04-04
20,6,0,890,2020-04-05
24,2,23,889,2020-04-06
38,6,0,921,2020-04-07
32,4,18,931,2020-04-08
33,3,8,953,2020-04-09
36,2,9,978,2020-04-10
28,5,11,990,2020-04-11
17,3,2,1002,2020-04-12
7,2,2,1005,2020-04-13
8,1,0,1012,2020-04-14
28,5,13,1022,2020-04-15
20,0,9,1033,2020-04-16
36,5,0,1064,2020-04-17
13,4,16,1057,2020-04-18
13,4,2,1064,2020-04-19
5,3,1,1065,2020-04-20
9,0,4,1070,2020-04-21
9,2,8,1069,2020-04-22
13,0,6,1076,2020-04-23
7,1,0,1082,2020-04-24
15,1,8,1088,2020-04-25
8,1,2,1093,2020-04-26
6,1,0,1098,2020-04-27
6,3,2,1099,2020-04-28
10,3,7,1099,2020-04-29
11,2,3,1105,2020-04-30
5,1,0,1109,2020-05-01
5,2,6,1106,2020-05-02
0,2,2,1102,2020-05-03
0,1,0,1101,2020-05-04
6,1,3,1103,2020-05-05
3,1,2,1103,2020-05-06
1,0,1,1103,2020-05-07
1,1,5,1098,2020-05-08
4,1,3,1098,2020-05-09
3,1,1,1099,2020-05-10
3,0,0,1102,2020-05-11
1,0,3,1100,2020-05-12
2,1,1,1100,2020-05-13
1,0,7,1094,2020-05-14
1,0,3,1092,2020-05-15
0,0,2,1090,2020-05-16
1,1,1,1089,2020-05-17
0,0,1062,27,2020-05-18
1,0,3,25,2020-05-19
1,1,2,23,2020-05-20
0,1,0,22,2020-05-21
0,0,0,22,2020-05-22
0,0,0,22,2020-05-23
0,1,0,21,2020-05-24
1,0,6,16,2020-05-25
0,1,0,15,2020-05-26
2,0,8,9,2020-05-27
2,0,2,9,2020-05-28
0,0,1,8,2020-05-29
0,0,0,8,2020-05-30
0,0,1,7,2020-05-31
0,1,0,6,2020-06-01
2,0,0,8,2020-06-02
2,0,0,10,2020-06-03
0,0,1,9,2020-06-04
2,0,0,11,2020-06-05
5,0,0,16,2020-06-06
1,0,0,17,2020-06-07
0,0,0,17,2020-06-08
