Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
1,0,0,1,2020-03-16
0,0,0,1,2020-03-17
0,0,0,1,2020-03-18
0,0,0,1,2020-03-19
0,0,0,1,2020-03-20
0,0,0,1,2020-03-21
0,0,0,1,2020-03-22
0,0,0,1,2020-03-23
0,0,0,1,2020-03-24
0,0,0,1,2020-03-25
1,0,0,2,2020-03-26
1,0,0,3,2020-03-27
0,0,0,3,2020-03-28
0,0,0,3,2020-03-29
0,0,0,3,2020-03-30
2,0,1,4,2020-03-31
0,0,0,4,2020-04-01
0,0,0,4,2020-04-02
2,0,0,6,2020-04-03
0,0,0,6,2020-04-04
0,0,0,6,2020-04-05
0,0,0,6,2020-04-06
1,0,0,7,2020-04-07
4,1,0,10,2020-04-08
0,0,0,10,2020-04-09
9,0,0,19,2020-04-10
0,0,0,19,2020-04-11
4,0,1,22,2020-04-12
35,1,0,56,2020-04-13
0,0,0,56,2020-04-14
20,3,0,73,2020-04-15
0,0,0,73,2020-04-16
36,1,0,108,2020-04-17
19,1,0,126,2020-04-18
29,0,1,154,2020-04-19
73,1,1,225,2020-04-20
49,0,0,274,2020-04-21
0,0,0,274,2020-04-22
42,8,4,304,2020-04-23
0,0,0,304,2020-04-24
62,2,0,364,2020-04-25
46,5,2,403,2020-04-26
44,3,0,444,2020-04-27
48,2,9,481,2020-04-28
54,0,1,534,2020-04-29
19,0,11,542,2020-04-30
0,0,0,542,2020-05-01
70,3,3,606,2020-05-02
51,1,10,646,2020-05-03
34,3,17,660,2020-05-04
79,3,14,722,2020-05-05
38,1,12,747,2020-05-06
55,5,19,778,2020-05-07
0,0,0,778,2020-05-08
69,4,4,839,2020-05-09
57,3,8,885,2020-05-10
35,1,3,916,2020-05-11
81,0,5,992,2020-05-12
49,0,4,1037,2020-05-13
65,1,5,1096,2020-05-14
0,0,0,1096,2020-05-15
73,2,13,1154,2020-05-16
64,1,4,1213,2020-05-17
34,1,11,1235,2020-05-18
47,2,15,1265,2020-05-19
71,2,10,1324,2020-05-20
21,0,16,1329,2020-05-21
0,0,0,1329,2020-05-22
0,0,0,1329,2020-05-23
0,0,0,1329,2020-05-24
95,5,31,1388,2020-05-25
22,1,18,1391,2020-05-26
20,0,12,1399,2020-05-27
97,5,45,1446,2020-05-28
0,0,0,1446,2020-05-29
88,1,17,1516,2020-05-30
60,5,21,1550,2020-05-31
47,1,13,1583,2020-06-01
66,0,0,1649,2020-06-02
57,0,45,1661,2020-06-03
58,0,12,1707,2020-06-04
0,0,0,1707,2020-06-05
85,3,13,1776,2020-06-06
45,1,10,1810,2020-06-07
34,1,29,1814,2020-06-08
48,1,19,1842,2020-06-09
