Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
1,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
2,0,0,3,2020-03-08
0,0,0,3,2020-03-09
4,0,0,7,2020-03-10
6,0,0,13,2020-03-11
4,0,0,17,2020-03-12
7,0,0,24,2020-03-13
14,0,0,38,2020-03-14
13,0,0,51,2020-03-15
11,0,0,62,2020-03-16
0,0,0,62,2020-03-17
54,0,0,116,2020-03-18
34,0,0,150,2020-03-19
52,0,0,202,2020-03-20
38,0,0,240,2020-03-21
34,0,0,274,2020-03-22
128,0,0,402,2020-03-23
152,0,4,550,2020-03-24
155,0,8,697,2020-03-25
218,0,0,915,2020-03-26
243,1,19,1138,2020-03-27
17,0,0,1155,2020-03-28
93,1,0,1247,2020-03-29
46,1,0,1292,2020-03-30
27,2,0,1317,2020-03-31
27,0,19,1325,2020-04-01
82,0,0,1407,2020-04-02
43,4,45,1401,2020-04-03
80,0,0,1481,2020-04-04
70,2,0,1549,2020-04-05
31,1,0,1579,2020-04-06
63,1,0,1641,2020-04-07
96,5,0,1732,2020-04-08
89,0,0,1821,2020-04-09
69,6,315,1569,2020-04-10
25,1,0,1593,2020-04-11
145,0,0,1738,2020-04-12
99,2,0,1835,2020-04-13
143,0,0,1978,2020-04-14
91,7,0,2062,2020-04-15
99,14,493,1654,2020-04-16
178,2,0,1830,2020-04-17
251,2,0,2079,2020-04-18
124,2,0,2201,2020-04-19
142,4,152,2187,2020-04-20
165,0,0,2352,2020-04-21
170,7,0,2515,2020-04-22
318,10,418,2405,2020-04-23
267,4,0,2668,2020-04-24
141,7,0,2802,2020-04-25
185,1,0,2986,2020-04-26
247,3,0,3230,2020-04-27
203,3,600,2830,2020-04-28
354,10,0,3174,2020-04-29
297,0,0,3471,2020-04-30
304,13,309,3453,2020-05-01
385,7,167,3664,2020-05-02
447,8,0,4103,2020-05-03
437,7,197,4336,2020-05-04
352,10,0,4678,2020-05-05
236,5,407,4502,2020-05-06
424,8,0,4918,2020-05-07
663,17,0,5564,2020-05-08
525,8,830,5251,2020-05-09
595,8,190,5648,2020-05-10
637,12,184,6089,2020-05-11
698,0,0,6787,2020-05-12
724,13,388,7110,2020-05-13
665,19,931,6825,2020-05-14
785,9,407,7194,2020-05-15
831,14,395,7616,2020-05-16
1160,3,528,8245,2020-05-17
918,22,292,8849,2020-05-18
767,26,662,8928,2020-05-19
803,27,990,8714,2020-05-20
1134,30,0,9818,2020-05-21
988,28,1154,9624,2020-05-22
1218,10,0,10832,2020-05-23
1240,22,996,11054,2020-05-24
1032,52,817,11217,2020-05-25
649,43,824,10999,2020-05-26
1673,28,710,11934,2020-05-27
1466,25,919,12456,2020-05-28
1837,34,723,13536,2020-05-29
1727,32,1023,14208,2020-05-30
1716,40,693,15191,2020-05-31
1674,22,482,16361,2020-06-01
1455,50,1022,16744,2020-06-02
1713,37,1369,17051,2020-06-03
3267,56,1629,18633,2020-06-04
2642,60,1777,19438,2020-06-05
