Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
1,0,0,1,2020-03-14
0,0,0,1,2020-03-15
0,0,0,1,2020-03-16
0,0,0,1,2020-03-17
0,0,0,1,2020-03-18
0,0,0,1,2020-03-19
0,0,0,1,2020-03-20
0,0,0,1,2020-03-21
3,0,0,4,2020-03-22
0,0,0,4,2020-03-23
0,0,0,4,2020-03-24
0,0,0,4,2020-03-25
2,0,0,6,2020-03-26
3,0,0,9,2020-03-27
0,0,0,9,2020-03-28
0,0,0,9,2020-03-29
0,0,0,9,2020-03-30
0,0,0,9,2020-03-31
0,0,0,9,2020-04-01
0,0,0,9,2020-04-02
0,0,0,9,2020-04-03
0,0,0,9,2020-04-04
0,0,0,9,2020-04-05
1,0,4,6,2020-04-06
0,0,0,6,2020-04-07
2,0,3,5,2020-04-08
0,0,0,5,2020-04-09
0,0,0,5,2020-04-10
0,0,0,5,2020-04-11
2,0,0,7,2020-04-12
1,0,0,8,2020-04-13
0,0,1,7,2020-04-14
0,0,0,7,2020-04-15
1,1,0,7,2020-04-16
0,0,0,7,2020-04-17
6,0,0,13,2020-04-18
0,0,0,13,2020-04-19
2,0,0,15,2020-04-20
7,0,0,22,2020-04-21
0,0,0,22,2020-04-22
0,0,0,22,2020-04-23
5,0,2,25,2020-04-24
20,0,0,45,2020-04-25
3,0,0,48,2020-04-26
6,0,0,54,2020-04-27
6,0,0,60,2020-04-28
20,0,0,80,2020-04-29
9,0,2,87,2020-04-30
6,0,0,93,2020-05-01
2,0,0,95,2020-05-02
4,0,0,99,2020-05-03
4,0,0,103,2020-05-04
3,0,0,106,2020-05-05
4,1,0,109,2020-05-06
30,0,0,139,2020-05-07
6,0,0,145,2020-05-08
4,0,2,147,2020-05-09
9,0,13,143,2020-05-10
3,0,1,145,2020-05-11
9,0,0,154,2020-05-12
3,0,20,137,2020-05-13
0,0,3,134,2020-05-14
3,0,15,122,2020-05-15
12,0,6,128,2020-05-16
1,0,1,128,2020-05-17
2,0,5,125,2020-05-18
3,0,9,119,2020-05-19
9,0,10,118,2020-05-20
3,0,15,106,2020-05-21
5,0,7,104,2020-05-22
13,0,0,117,2020-05-23
12,0,37,92,2020-05-24
6,0,2,96,2020-05-25
5,0,6,95,2020-05-26
11,0,4,102,2020-05-27
7,0,0,109,2020-05-28
0,0,0,109,2020-05-29
4,0,0,113,2020-05-30
2,0,21,94,2020-05-31
8,1,5,96,2020-06-01
1,0,4,93,2020-06-02
1,0,3,91,2020-06-03
5,0,0,96,2020-06-04
5,0,20,81,2020-06-05
17,0,3,95,2020-06-06
11,0,1,105,2020-06-07
7,0,4,108,2020-06-08
31,0,3,136,2020-06-09
27,0,4,159,2020-06-10
51,0,2,208,2020-06-11
