Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
1,0,0,1,2020-02-25
0,0,0,1,2020-02-26
7,0,0,8,2020-02-27
0,0,0,8,2020-02-28
10,0,0,18,2020-02-29
9,0,0,27,2020-03-01
15,0,0,42,2020-03-02
14,0,2,54,2020-03-03
34,0,1,87,2020-03-04
24,1,0,110,2020-03-05
100,0,0,210,2020-03-06
54,0,0,264,2020-03-07
69,1,0,332,2020-03-08
37,0,0,369,2020-03-09
117,1,0,485,2020-03-10
161,1,1,644,2020-03-11
0,0,0,644,2020-03-12
487,7,0,1124,2020-03-13
220,2,0,1342,2020-03-14
841,1,0,2182,2020-03-15
0,0,0,2182,2020-03-16
500,13,0,2669,2020-03-17
328,1,11,2985,2020-03-18
1047,13,0,4019,2020-03-19
1219,13,0,5225,2020-03-20
1281,21,0,6485,2020-03-21
899,23,116,7245,2020-03-22
1321,22,0,8544,2020-03-23
1082,2,0,9624,2020-03-24
1020,31,0,10613,2020-03-25
914,38,0,11489,2020-03-26
1117,40,1399,11167,2020-03-27
1148,33,0,12282,2020-03-28
753,36,65,12934,2020-03-29
1093,59,228,13740,2020-03-30
683,74,0,14349,2020-03-31
1163,55,1144,14313,2020-04-01
1059,48,1046,14278,2020-04-02
779,55,833,14169,2020-04-03
899,75,1569,13424,2020-04-04
595,49,0,13970,2020-04-05
557,50,1641,12836,2020-04-06
596,56,648,12728,2020-04-07
1027,74,1096,12585,2020-04-08
771,53,800,12503,2020-04-09
500,54,500,12449,2020-04-10
556,34,1000,11971,2020-04-11
308,70,600,11609,2020-04-12
273,32,1000,10850,2020-04-13
248,36,0,11062,2020-04-14
400,65,1700,9697,2020-04-15
396,42,500,9551,2020-04-16
346,46,500,9351,2020-04-17
326,41,700,8936,2020-04-18
336,25,700,8547,2020-04-19
204,36,800,7915,2020-04-20
119,49,800,7185,2020-04-21
205,31,500,6859,2020-04-22
228,40,700,6347,2020-04-23
181,40,400,6088,2020-04-24
217,10,300,5995,2020-04-25
167,11,500,5651,2020-04-26
103,55,400,5299,2020-04-27
100,34,400,4965,2020-04-28
143,17,0,5091,2020-04-29
179,21,800,4449,2020-04-30
119,17,500,4051,2020-05-01
112,8,300,3855,2020-05-02
88,0,300,3643,2020-05-03
76,22,700,2997,2020-05-04
28,11,200,2814,2020-05-05
51,10,300,2555,2020-05-06
66,5,200,2416,2020-05-07
81,13,200,2284,2020-05-08
44,7,300,2021,2020-05-09
54,3,200,1872,2020-05-10
39,12,200,1699,2020-05-11
36,22,0,1713,2020-05-12
33,3,300,1443,2020-05-13
50,2,0,1491,2020-05-14
51,6,0,1536,2020-05-15
58,1,300,1293,2020-05-16
15,2,100,1206,2020-05-17
10,5,100,1111,2020-05-18
21,5,100,1027,2020-05-19
40,1,100,966,2020-05-20
36,6,100,896,2020-05-21
13,5,0,904,2020-05-22
18,2,100,820,2020-05-23
11,1,100,730,2020-05-24
10,7,100,633,2020-05-25
15,2,0,646,2020-05-26
15,2,100,559,2020-05-27
20,2,0,577,2020-05-28
32,0,0,609,2020-05-29
17,0,100,526,2020-05-30
17,1,100,442,2020-05-31
9,0,0,451,2020-06-01
3,0,0,454,2020-06-02
19,1,100,372,2020-06-03
20,0,0,392,2020-06-04
23,0,0,415,2020-06-05
