Confirmed,Deaths,Recovered,Active,Date
2,0,0,2,2020-01-22
1,0,0,3,2020-01-23
2,0,0,5,2020-01-24
2,0,0,7,2020-01-25
1,0,2,6,2020-01-26
0,0,0,6,2020-01-27
6,0,3,9,2020-01-28
0,0,0,9,2020-01-29
0,0,0,9,2020-01-30
5,0,0,14,2020-01-31
0,0,0,14,2020-02-01
0,0,0,14,2020-02-02
0,0,0,14,2020-02-03
6,0,0,20,2020-02-04
0,0,0,20,2020-02-05
0,0,0,20,2020-02-06
0,0,0,20,2020-02-07
7,0,5,22,2020-02-08
0,0,0,22,2020-02-09
0,0,0,22,2020-02-10
1,0,0,23,2020-02-11
0,0,0,23,2020-02-12
0,0,2,21,2020-02-13
0,0,0,21,2020-02-14
0,0,0,21,2020-02-15
1,0,2,20,2020-02-16
1,0,1,20,2020-02-17
0,0,0,20,2020-02-18
0,0,0,20,2020-02-19
0,0,0,20,2020-02-20
0,0,2,18,2020-02-21
0,0,0,18,2020-02-22
0,0,4,14,2020-02-23
0,0,0,14,2020-02-24
2,0,1,15,2020-02-25
3,0,0,18,2020-02-26
0,0,0,18,2020-02-27
1,0,6,13,2020-02-28
1,0,0,14,2020-02-29
0,1,0,13,2020-03-01
1,0,3,11,2020-03-02
0,0,0,11,2020-03-03
0,0,0,11,2020-03-04
4,0,0,15,2020-03-05
1,0,0,16,2020-03-06
2,0,0,18,2020-03-07
0,0,0,18,2020-03-08
0,0,0,18,2020-03-09
3,0,2,19,2020-03-10
6,0,1,24,2020-03-11
11,0,0,35,2020-03-12
5,0,1,39,2020-03-13
7,0,0,46,2020-03-14
32,0,0,78,2020-03-15
33,0,0,111,2020-03-16
30,0,6,135,2020-03-17
35,0,1,169,2020-03-18
60,0,0,229,2020-03-19
50,0,0,279,2020-03-20
89,0,0,368,2020-03-21
188,0,2,554,2020-03-22
122,0,0,676,2020-03-23
106,3,8,771,2020-03-24
107,0,18,860,2020-03-25
111,0,18,953,2020-03-26
91,1,9,1034,2020-03-27
109,1,0,1142,2020-03-28
143,1,0,1284,2020-03-29
136,2,132,1286,2020-03-30
127,1,113,1299,2020-03-31
120,2,163,1254,2020-04-01
104,3,0,1355,2020-04-02
103,4,107,1347,2020-04-03
89,1,62,1373,2020-04-04
102,3,119,1353,2020-04-05
51,3,0,1401,2020-04-06
38,1,95,1343,2020-04-07
111,3,0,1451,2020-04-08
54,2,52,1451,2020-04-09
50,1,73,1427,2020-04-10
45,2,122,1348,2020-04-11
33,3,83,1295,2020-04-12
28,2,70,1251,2020-04-13
34,1,117,1167,2020-04-14
30,2,92,1103,2020-04-15
29,3,96,1033,2020-04-16
28,1,96,964,2020-04-17
33,0,98,899,2020-04-18
32,0,141,790,2020-04-19
27,0,71,746,2020-04-20
19,1,109,655,2020-04-21
15,1,244,425,2020-04-22
13,1,78,359,2020-04-23
68,1,117,309,2020-04-24
0,0,0,309,2020-04-25
15,0,47,277,2020-04-26
9,1,15,270,2020-04-27
7,2,43,232,2020-04-28
9,0,13,228,2020-04-29
7,0,19,216,2020-04-30
6,0,35,187,2020-05-01
6,0,13,180,2020-05-02
3,0,7,176,2020-05-03
18,0,1,193,2020-05-04
1,0,7,187,2020-05-05
1,1,14,173,2020-05-06
3,0,11,165,2020-05-07
8,0,12,161,2020-05-08
4,1,3,161,2020-05-09
5,0,7,159,2020-05-10
6,0,2,163,2020-05-11
2,0,2,163,2020-05-12
0,0,46,117,2020-05-13
1,0,6,112,2020-05-14
7,0,4,115,2020-05-15
0,0,1,114,2020-05-16
3,0,1,116,2020-05-17
3,0,1,118,2020-05-18
2,0,0,120,2020-05-19
1,0,31,90,2020-05-20
3,0,9,84,2020-05-21
0,0,13,71,2020-05-22
3,0,6,68,2020-05-23
0,0,5,63,2020-05-24
2,1,7,57,2020-05-25
3,0,1,59,2020-05-26
9,0,2,66,2020-05-27
11,0,14,63,2020-05-28
11,0,0,74,2020-05-29
1,0,16,59,2020-05-30
4,0,2,61,2020-05-31
1,0,2,60,2020-06-01
1,1,1,59,2020-06-02
1,0,2,58,2020-06-03
17,0,0,75,2020-06-04
1,0,3,73,2020-06-05
2,0,0,75,2020-06-06
8,0,1,82,2020-06-07
7,0,1,88,2020-06-08
2,0,0,90,2020-06-09
4,0,8,86,2020-06-10
0,0,6,80,2020-06-11
4,0,0,84,2020-06-12
5,0,0,89,2020-06-13
1,0,0,90,2020-06-14
0,0,0,90,2020-06-15
0,0,6,84,2020-06-16
0,0,3,81,2020-06-17
6,0,1,86,2020-06-18
5,0,11,80,2020-06-19
1,0,10,71,2020-06-20
1,0,0,72,2020-06-21
3,0,4,71,2020-06-22
5,0,1,75,2020-06-23
2,0,15,62,2020-06-24
0,0,0,62,2020-06-25
4,0,2,64,2020-06-26
0,0,13,51,2020-06-27
0,0,0,51,2020-06-28
7,0,0,58,2020-06-29
2,0,3,57,2020-06-30
2,0,3,56,2020-07-01
6,0,0,62,2020-07-02
1,0,7,56,2020-07-03
5,0,0,61,2020-07-04
5,0,5,61,2020-07-05
5,0,1,65,2020-07-06
2,0,2,65,2020-07-07
0,0,0,65,2020-07-08
5,0,11,59,2020-07-09
0,0,2,57,2020-07-10
14,0,1,70,2020-07-11
1,0,0,71,2020-07-12
3,0,2,72,2020-07-13
7,0,1,78,2020-07-14
5,0,1,82,2020-07-15
4,0,3,83,2020-07-16
3,0,1,85,2020-07-17
7,0,0,92,2020-07-18
4,0,0,96,2020-07-19
0,0,0,96,2020-07-20
5,0,9,92,2020-07-21
6,0,0,98,2020-07-22
18,0,2,114,2020-07-23
0,0,0,114,2020-07-24
3,0,2,115,2020-07-25
9,0,0,124,2020-07-26
6,0,2,128,2020-07-27
0,0,0,128,2020-07-28
1,0,0,129,2020-07-29
6,0,0,135,2020-07-30
6,0,14,127,2020-07-31
2,0,10,119,2020-08-01
5,0,7,117,2020-08-02
3,0,0,120,2020-08-03
1,0,0,121,2020-08-04
7,0,2,126,2020-08-05
2,0,4,124,2020-08-06
15,0,0,139,2020-08-07
3,0,2,140,2020-08-08
3,0,1,142,2020-08-09
0,0,9,133,2020-08-10
0,0,3,130,2020-08-11
5,0,6,129,2020-08-12
3,0,0,132,2020-08-13
17,0,4,145,2020-08-14
0,0,20,125,2020-08-15
2,0,1,126,2020-08-16
0,0,0,126,2020-08-17
4,0,5,125,2020-08-18
0,0,0,125,2020-08-19
7,0,19,113,2020-08-20
1,0,1,113,2020-08-21
0,0,1,112,2020-08-22
5,0,1,116,2020-08-23
7,0,8,115,2020-08-24
0,0,0,115,2020-08-25
2,0,8,109,2020-08-26
6,0,0,115,2020-08-27
1,0,5,111,2020-08-28
