Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
0,0,0,1,2020-03-07
0,0,0,1,2020-03-08
0,0,0,1,2020-03-09
0,0,0,1,2020-03-10
0,0,0,1,2020-03-11
0,0,0,1,2020-03-12
0,0,0,1,2020-03-13
0,0,0,1,2020-03-14
0,0,0,1,2020-03-15
0,0,0,1,2020-03-16
0,0,0,1,2020-03-17
0,0,0,1,2020-03-18
0,0,0,1,2020-03-19
8,0,1,8,2020-03-20
7,0,0,15,2020-03-21
0,0,0,15,2020-03-22
2,0,0,17,2020-03-23
2,0,0,19,2020-03-24
3,0,0,22,2020-03-25
0,0,0,22,2020-03-26
2,1,0,23,2020-03-27
0,0,0,23,2020-03-28
0,0,0,23,2020-03-29
5,0,0,28,2020-03-30
4,0,9,23,2020-03-31
2,1,0,24,2020-04-01
3,0,7,20,2020-04-02
1,1,0,20,2020-04-03
1,0,0,21,2020-04-04
3,0,3,21,2020-04-05
14,0,3,32,2020-04-06
7,0,0,39,2020-04-07
5,0,0,44,2020-04-08
3,0,1,46,2020-04-09
3,0,1,48,2020-04-10
0,0,0,48,2020-04-11
0,0,4,44,2020-04-12
1,0,0,45,2020-04-13
0,0,3,42,2020-04-14
4,0,3,43,2020-04-15
0,2,10,31,2020-04-16
2,0,3,30,2020-04-17
1,0,1,30,2020-04-18
0,0,3,27,2020-04-19
0,1,1,25,2020-04-20
2,0,3,24,2020-04-21
2,0,0,26,2020-04-22
0,0,3,23,2020-04-23
2,0,0,25,2020-04-24
6,0,3,28,2020-04-25
2,0,0,30,2020-04-26
0,0,0,30,2020-04-27
1,0,1,30,2020-04-28
10,1,1,38,2020-04-29
7,2,1,42,2020-04-30
7,0,1,48,2020-05-01
0,0,0,48,2020-05-02
1,0,1,48,2020-05-03
2,0,7,43,2020-05-04
2,0,0,45,2020-05-05
0,0,3,42,2020-05-06
7,0,8,41,2020-05-07
10,1,0,50,2020-05-08
8,0,2,56,2020-05-09
21,1,2,74,2020-05-10
7,0,0,81,2020-05-11
18,0,3,96,2020-05-12
20,0,4,112,2020-05-13
19,0,0,131,2020-05-14
25,0,0,156,2020-05-15
35,0,3,188,2020-05-16
3,0,5,186,2020-05-17
29,1,2,212,2020-05-18
8,0,1,219,2020-05-19
2,0,3,218,2020-05-20
14,0,8,224,2020-05-21
9,0,3,230,2020-05-22
10,0,12,228,2020-05-23
8,0,8,228,2020-05-24
5,1,20,212,2020-05-25
5,0,16,201,2020-05-26
4,0,6,199,2020-05-27
27,0,14,212,2020-05-28
6,0,5,213,2020-05-29
5,0,4,214,2020-05-30
9,0,5,218,2020-05-31
1,0,4,215,2020-06-01
2,0,15,202,2020-06-02
7,0,6,203,2020-06-03
13,0,3,213,2020-06-04
20,0,1,232,2020-06-05
2,0,0,234,2020-06-06
8,0,8,234,2020-06-07
2,0,3,233,2020-06-08
4,0,9,228,2020-06-09
21,0,5,244,2020-06-10
2,0,6,240,2020-06-11
