Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
1,0,0,1,2020-03-11
0,0,0,1,2020-03-12
4,0,0,5,2020-03-13
0,0,0,5,2020-03-14
1,0,0,6,2020-03-15
12,0,0,18,2020-03-16
29,1,0,46,2020-03-17
51,0,0,97,2020-03-18
94,2,0,189,2020-03-19
167,1,0,355,2020-03-20
311,5,0,661,2020-03-21
566,21,0,1206,2020-03-22
293,7,0,1492,2020-03-23
343,7,0,1828,2020-03-24
561,15,26,2348,2020-03-25
1196,16,0,3528,2020-03-26
2069,17,16,5564,2020-03-27
1704,16,28,7224,2020-03-28
1815,23,35,8981,2020-03-29
1610,37,57,10497,2020-03-30
2704,46,81,13074,2020-03-31
2148,63,90,15069,2020-04-01
2456,79,82,17364,2020-04-02
2786,69,69,20012,2020-04-03
3013,76,302,22647,2020-04-04
3135,73,256,25453,2020-04-05
3148,75,284,28242,2020-04-06
3892,76,256,31802,2020-04-07
4117,87,264,35568,2020-04-08
4056,96,296,39232,2020-04-09
4747,98,281,43600,2020-04-10
5138,95,542,48101,2020-04-11
4789,97,481,52312,2020-04-12
4093,98,511,55796,2020-04-13
4062,107,842,58909,2020-04-14
4281,115,875,62200,2020-04-15
4801,125,1415,65461,2020-04-16
4353,126,1542,68146,2020-04-17
3783,121,1822,69986,2020-04-18
3977,127,1523,72313,2020-04-19
4674,123,1454,75410,2020-04-20
4611,119,1488,78414,2020-04-21
3083,117,1559,79821,2020-04-22
3116,115,2014,80808,2020-04-23
3122,109,3246,80575,2020-04-24
2861,106,3845,79485,2020-04-25
2357,99,3558,78185,2020-04-26
2131,95,4651,75570,2020-04-27
2392,92,5018,72852,2020-04-28
2936,89,5231,70468,2020-04-29
2615,93,4846,68144,2020-04-30
2188,84,4922,65326,2020-05-01
1983,78,4451,62780,2020-05-02
1670,61,4892,59497,2020-05-03
1614,64,5015,56032,2020-05-04
1832,59,5119,52686,2020-05-05
2253,64,4917,49958,2020-05-06
1977,57,4782,47096,2020-05-07
1848,48,3412,45484,2020-05-08
1546,50,3084,43896,2020-05-09
1542,47,3211,42180,2020-05-10
1114,55,3089,40150,2020-05-11
1704,53,3109,38692,2020-05-12
1639,58,2826,37447,2020-05-13
1635,55,2315,36712,2020-05-14
1708,48,2103,36269,2020-05-15
1610,41,2004,35834,2020-05-16
1368,44,1825,35333,2020-05-17
1158,31,1615,34845,2020-05-18
1022,28,1318,34521,2020-05-19
972,23,1092,34378,2020-05-20
961,27,1003,34309,2020-05-21
952,27,1121,34113,2020-05-22
1186,32,1491,33776,2020-05-23
1141,32,1092,33793,2020-05-24
987,29,1321,33430,2020-05-25
948,28,1492,32858,2020-05-26
1035,34,1286,32573,2020-05-27
1182,30,1576,32149,2020-05-28
1141,28,1594,31668,2020-05-29
983,26,1021,31604,2020-05-30
