Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
1,0,0,1,2020-03-21
0,0,0,1,2020-03-22
8,0,0,9,2020-03-23
0,0,0,9,2020-03-24
5,0,0,14,2020-03-25
0,0,0,14,2020-03-26
9,0,0,23,2020-03-27
7,0,0,30,2020-03-28
3,0,0,33,2020-03-29
0,0,0,33,2020-03-30
11,0,0,44,2020-03-31
0,0,0,44,2020-04-01
1,0,0,45,2020-04-02
3,0,0,48,2020-04-03
0,0,0,48,2020-04-04
4,0,0,52,2020-04-05
0,0,0,52,2020-04-06
0,0,0,52,2020-04-07
1,0,0,53,2020-04-08
0,0,0,53,2020-04-09
0,0,0,53,2020-04-10
0,0,4,49,2020-04-11
1,0,0,50,2020-04-12
0,0,3,47,2020-04-13
1,0,1,47,2020-04-14
0,0,4,43,2020-04-15
0,0,8,35,2020-04-16
1,0,0,36,2020-04-17
-1,0,2,33,2020-04-18
0,0,6,27,2020-04-19
1,0,10,18,2020-04-20
5,0,0,23,2020-04-21
2,0,7,18,2020-04-22
11,0,1,28,2020-04-23
1,0,0,29,2020-04-24
0,0,0,29,2020-04-25
4,0,0,33,2020-04-26
0,0,1,32,2020-04-27
0,0,5,27,2020-04-28
2,0,0,29,2020-04-29
2,0,0,31,2020-04-30
2,0,0,33,2020-05-01
3,0,0,36,2020-05-02
1,0,0,37,2020-05-03
8,0,3,42,2020-05-04
1,0,0,43,2020-05-05
2,0,0,45,2020-05-06
1,0,0,46,2020-05-07
0,0,0,46,2020-05-08
15,0,0,61,2020-05-09
5,0,0,66,2020-05-10
0,0,0,66,2020-05-11
8,0,0,74,2020-05-12
10,0,0,84,2020-05-13
21,0,8,97,2020-05-14
43,0,0,140,2020-05-15
24,0,0,164,2020-05-16
0,0,0,164,2020-05-17
21,0,0,185,2020-05-18
12,0,0,197,2020-05-19
4,0,2,199,2020-05-20
-104,0,1,94,2020-05-21
15,0,2,107,2020-05-22
23,0,0,130,2020-05-23
0,0,0,130,2020-05-24
24,0,1,153,2020-05-25
31,0,0,184,2020-05-26
28,0,0,212,2020-05-27
36,0,0,248,2020-05-28
12,0,3,257,2020-05-29
84,0,0,341,2020-05-30
4,0,0,345,2020-05-31
40,0,0,385,2020-06-01
32,0,10,407,2020-06-02
18,0,0,425,2020-06-03
15,0,0,440,2020-06-04
35,0,0,475,2020-06-05
36,0,0,511,2020-06-06
23,0,14,520,2020-06-07
30,0,7,543,2020-06-08
11,0,15,539,2020-06-09
8,0,1,546,2020-06-10
14,0,42,518,2020-06-11
