Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
4,0,0,4,2020-01-29
0,0,0,4,2020-01-30
0,0,0,4,2020-01-31
0,0,0,4,2020-02-01
1,0,0,5,2020-02-02
0,0,0,5,2020-02-03
0,0,0,5,2020-02-04
0,0,0,5,2020-02-05
0,0,0,5,2020-02-06
0,0,0,5,2020-02-07
2,0,0,7,2020-02-08
0,0,0,7,2020-02-09
1,0,0,8,2020-02-10
0,0,0,8,2020-02-11
0,0,1,7,2020-02-12
0,0,0,7,2020-02-13
0,0,0,7,2020-02-14
0,0,2,5,2020-02-15
1,0,1,5,2020-02-16
0,0,0,5,2020-02-17
0,0,0,5,2020-02-18
0,0,0,5,2020-02-19
0,0,0,5,2020-02-20
0,0,0,5,2020-02-21
4,0,0,9,2020-02-22
0,0,0,9,2020-02-23
0,0,0,9,2020-02-24
0,0,0,9,2020-02-25
0,0,0,9,2020-02-26
0,0,0,9,2020-02-27
6,0,1,14,2020-02-28
2,0,0,16,2020-02-29
0,0,0,16,2020-03-01
0,0,0,16,2020-03-02
6,0,0,22,2020-03-03
0,0,0,22,2020-03-04
2,0,0,24,2020-03-05
0,0,0,24,2020-03-06
16,0,2,38,2020-03-07
0,0,0,38,2020-03-08
0,0,0,38,2020-03-09
29,0,5,62,2020-03-10
0,0,5,57,2020-03-11
11,0,0,68,2020-03-12
0,0,0,68,2020-03-13
0,0,0,68,2020-03-14
13,0,6,75,2020-03-15
0,0,0,75,2020-03-16
0,0,0,75,2020-03-17
15,0,3,87,2020-03-18
27,0,5,109,2020-03-19
0,2,0,107,2020-03-20
13,0,7,113,2020-03-21
0,0,0,113,2020-03-22
45,0,0,158,2020-03-23
50,0,7,201,2020-03-24
85,0,7,279,2020-03-25
0,0,0,279,2020-03-26
72,0,0,351,2020-03-27
63,0,0,414,2020-03-28
102,1,6,509,2020-03-29
41,2,3,545,2020-03-30
53,1,0,597,2020-03-31
150,2,0,745,2020-04-01
210,0,35,920,2020-04-02
240,1,12,1147,2020-04-03
241,1,17,1370,2020-04-04
294,0,19,1645,2020-04-05
277,1,23,1898,2020-04-06
283,1,19,2161,2020-04-07
300,0,53,2408,2020-04-08
331,2,29,2708,2020-04-09
370,2,150,2926,2020-04-10
376,4,170,3128,2020-04-11
387,2,92,3421,2020-04-12
398,3,172,3644,2020-04-13
412,3,81,3972,2020-04-14
432,5,101,4298,2020-04-15
460,2,61,4695,2020-04-16
477,2,93,5077,2020-04-17
0,0,0,5077,2020-04-18
479,4,98,5454,2020-04-19
484,2,74,5862,2020-04-20
490,3,83,6266,2020-04-21
483,6,103,6640,2020-04-22
518,4,91,7063,2020-04-23
525,8,123,7457,2020-04-24
532,7,127,7855,2020-04-25
536,5,91,8295,2020-04-26
490,6,112,8667,2020-04-27
541,7,91,9110,2020-04-28
549,9,148,9502,2020-04-29
552,7,100,9947,2020-04-30
557,6,114,10384,2020-05-01
561,8,121,10816,2020-05-02
564,7,99,11274,2020-05-03
567,11,203,11627,2020-05-04
462,9,187,11893,2020-05-05
546,11,206,12222,2020-05-06
502,8,213,12503,2020-05-07
553,9,265,12782,2020-05-08
624,11,458,12937,2020-05-09
781,13,509,13196,2020-05-10
680,3,577,13296,2020-05-11
783,2,631,13446,2020-05-12
725,3,511,13657,2020-05-13
698,2,407,13946,2020-05-14
747,2,398,14293,2020-05-15
796,4,603,14482,2020-05-16
731,6,581,14626,2020-05-17
832,4,1065,14389,2020-05-18
873,3,1214,14045,2020-05-19
941,6,1018,13962,2020-05-20
894,4,946,13906,2020-05-21
994,4,1043,13853,2020-05-22
812,3,697,13965,2020-05-23
781,1,561,14184,2020-05-24
822,3,601,14402,2020-05-25
779,5,325,14851,2020-05-26
883,2,389,15343,2020-05-27
563,3,314,15589,2020-05-28
638,2,412,15813,2020-05-29
726,2,449,16088,2020-05-30
661,2,386,16361,2020-05-31
635,2,406,16588,2020-06-01
596,3,388,16793,2020-06-02
571,1,427,16936,2020-06-03
659,3,419,17173,2020-06-04
624,1,765,17031,2020-06-05
626,1,724,16932,2020-06-06
