Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
2,0,0,2,2020-01-31
0,0,0,2,2020-02-01
0,0,0,2,2020-02-02
14,0,0,16,2020-02-03
0,0,0,16,2020-02-04
2,0,0,18,2020-02-05
0,0,0,18,2020-02-06
0,0,0,18,2020-02-07
8,0,0,26,2020-02-08
2,0,0,28,2020-02-09
-14,0,0,14,2020-02-10
16,0,0,30,2020-02-11
2,0,2,30,2020-02-12
2,0,0,32,2020-02-13
2,0,0,34,2020-02-14
0,0,0,34,2020-02-15
0,0,14,20,2020-02-16
2,0,0,22,2020-02-17
0,0,0,22,2020-02-18
2,0,0,24,2020-02-19
4,0,0,28,2020-02-20
2,0,0,30,2020-02-21
0,0,0,30,2020-02-22
10,0,0,40,2020-02-23
4,0,0,44,2020-02-24
8,0,0,52,2020-02-25
6,0,0,58,2020-02-26
14,0,0,72,2020-02-27
24,0,0,96,2020-02-28
-51,0,-8,53,2020-02-29
127,0,8,172,2020-03-01
80,0,0,252,2020-03-02
110,0,0,362,2020-03-03
113,0,0,475,2020-03-04
-196,0,0,279,2020-03-05
452,2,0,729,2020-03-06
110,2,20,817,2020-03-07
108,0,0,925,2020-03-08
-335,-1,-18,609,2020-03-09
1146,11,19,1725,2020-03-10
-475,-7,-18,1275,2020-03-11
2276,11,18,3522,2020-03-12
959,2,0,4479,2020-03-13
728,37,0,5170,2020-03-14
885,29,0,6026,2020-03-15
-2457,-20,-16,3605,2020-03-16
770,98,32,4245,2020-03-17
6456,68,79,10554,2020-03-18
-4385,89,0,6080,2020-03-19
1258,68,0,7270,2020-03-20
10172,114,0,17328,2020-03-21
2765,71,0,20022,2020-03-22
4684,150,0,24556,2020-03-23
-10286,297,8,13965,2020-03-24
2717,-317,0,16999,2020-03-25
3127,1060,10,19056,2020-03-26
27266,572,136,45614,2020-03-27
-21174,586,0,23854,2020-03-28
2892,427,0,26319,2020-03-29
4327,748,-115,30013,2020-03-30
4534,786,143,33618,2020-03-31
4974,1343,0,37249,2020-04-01
53192,1309,13,89119,2020-04-02
-43282,1451,16,44370,2020-04-03
4073,1517,-128,47054,2020-04-04
3650,-4621,14,55311,2020-04-05
5316,7004,193,53430,2020-04-06
5486,2143,38,56735,2020-04-07
5163,-6440,-115,68453,2020-04-08
4906,1117,14,72228,2020-04-09
4367,11891,229,64475,2020-04-10
3613,-9924,378,77634,2020-04-11
3539,12951,-340,68562,2020-04-12
4205,1469,-322,71620,2020-04-13
4348,-11958,19,87907,2020-04-14
5100,15811,45,77151,2020-04-15
5343,-13887,7,96374,2020-04-16
4990,17806,19,83539,2020-04-17
4736,-15784,20,104039,2020-04-18
3860,18938,22,88939,2020-04-19
4866,-17929,10,111724,2020-04-20
4775,1224,192,115083,2020-04-21
5505,857,45,119686,2020-04-22
5168,684,29,124141,2020-04-23
4981,1018,12,128092,2020-04-24
3764,816,50,130990,2020-04-25
3473,24434,4,110025,2020-04-26
4704,-23747,29,138447,2020-04-27
4727,26290,6,116878,2020-04-28
5450,-24548,44,146832,2020-04-29
4964,636,2,151158,2020-04-30
4730,700,33,155155,2020-05-01
3230,585,4,157796,2020-05-02
2977,28717,5,132051,2020-05-03
3383,-28191,9,163616,2020-05-04
3689,30171,16,137118,2020-05-05
3836,-28799,8,169745,2020-05-06
3771,458,36,173022,2020-05-07
3052,580,27,175467,2020-05-08
2150,275,4,177338,2020-05-09
2322,32096,1,147563,2020-05-10
3589,399,13,150740,2020-05-11
3395,-31475,8,185602,2020-05-12
3300,33664,9,155229,2020-05-13
2618,-32863,11,190699,2020-05-14
2521,351,4,192865,2020-05-15
2072,411,11,194515,2020-05-16
1826,67,0,196274,2020-05-17
2577,146,32,198673,2020-05-18
3058,35887,9,165835,2020-05-19
2712,-35057,17,203587,2020-05-20
2554,273,18,205850,2020-05-21
2041,36742,8,171141,2020-05-22
1508,503,7,172139,2020-05-23
1355,-36355,2,209847,2020-05-24
1613,104,10,211346,2020-05-25
1659,37564,0,175441,2020-05-26
