Confirmed,Deaths,Recovered,Active,Date
1,0,0,1,2020-01-22
0,0,0,1,2020-01-23
1,0,0,2,2020-01-24
0,0,0,2,2020-01-25
3,0,0,5,2020-01-26
0,0,0,5,2020-01-27
0,0,0,5,2020-01-28
0,0,0,5,2020-01-29
0,0,0,5,2020-01-30
2,0,0,7,2020-01-31
1,0,0,8,2020-02-01
0,0,0,8,2020-02-02
3,0,0,11,2020-02-03
0,0,0,11,2020-02-04
0,0,0,11,2020-02-05
0,0,0,11,2020-02-06
0,0,0,11,2020-02-07
0,0,0,11,2020-02-08
0,0,3,8,2020-02-09
0,0,0,8,2020-02-10
1,0,0,9,2020-02-11
0,0,0,9,2020-02-12
1,0,0,10,2020-02-13
0,0,0,10,2020-02-14
0,0,0,10,2020-02-15
0,0,0,10,2020-02-16
0,0,0,10,2020-02-17
0,0,0,10,2020-02-18
0,0,0,10,2020-02-19
0,0,0,10,2020-02-20
2,0,2,10,2020-02-21
0,0,0,10,2020-02-22
0,0,0,10,2020-02-23
0,0,0,10,2020-02-24
0,0,1,9,2020-02-25
0,0,0,9,2020-02-26
1,0,0,10,2020-02-27
0,0,1,9,2020-02-28
8,1,0,16,2020-02-29
6,0,0,22,2020-03-01
23,5,0,40,2020-03-02
20,1,0,59,2020-03-03
31,4,0,86,2020-03-04
70,1,0,155,2020-03-05
48,2,0,201,2020-03-06
115,3,0,313,2020-03-07
114,4,0,423,2020-03-08
68,1,0,490,2020-03-09
192,6,1,675,2020-03-10
398,5,0,1068,2020-03-11
452,10,4,1506,2020-03-12
596,9,0,2093,2020-03-13
713,6,0,2800,2020-03-14
98,12,0,2886,2020-03-15
1392,27,5,4246,2020-03-16
1781,35,0,5992,2020-03-17
2776,59,88,8621,2020-03-18
5240,78,16,13767,2020-03-19
5322,99,26,18964,2020-03-20
6346,95,29,25186,2020-03-21
7936,148,2,32972,2020-03-22
10089,187,0,42874,2020-03-23
10262,242,170,52724,2020-03-24
11943,316,13,64338,2020-03-25
18036,422,320,81632,2020-03-26
18185,563,188,99066,2020-03-27
19793,654,203,118002,2020-03-28
19136,634,1593,134911,2020-03-29
21502,834,2979,152600,2020-03-30
26017,1255,1380,175982,2020-03-31
25481,1268,1450,198745,2020-04-01
30405,1613,527,227010,2020-04-02
31937,1337,706,256904,2020-04-03
33152,1327,4945,283784,2020-04-04
27874,1502,2796,307360,2020-04-05
29642,1739,2133,333130,2020-04-06
30777,2379,2182,359346,2020-04-07
31694,2182,1796,387062,2020-04-08
34756,2151,1851,417816,2020-04-09
33501,2146,3380,445791,2020-04-10
30026,2124,2480,471213,2020-04-11
28553,1850,1718,496198,2020-04-12
25291,1906,10494,509089,2020-04-13
27065,2457,4281,529416,2020-04-14
29096,2609,4333,551570,2020-04-15
31298,2175,2607,578086,2020-04-16
32724,2666,3842,604302,2020-04-17
28341,2445,6295,623903,2020-04-18
26038,1276,5497,643168,2020-04-19
27341,1834,1992,666683,2020-04-20
25602,2504,2875,686906,2020-04-21
28104,2431,2162,710417,2020-04-22
34195,2469,2837,739306,2020-04-23
36291,2154,18876,754567,2020-04-24
32921,1697,1293,784498,2020-04-25
27689,1330,6616,804241,2020-04-26
22465,1467,4436,820803,2020-04-27
24535,2241,4512,838585,2020-04-28
27520,2521,4784,858800,2020-04-29
29629,2324,33227,852878,2020-04-30
34162,1891,10068,875081,2020-05-01
29195,1692,11367,891217,2020-05-02
25587,1121,4770,910913,2020-05-03
22475,1333,7028,925027,2020-05-04
24185,2318,2611,944283,2020-05-05
25256,2363,119,967057,2020-05-06
27882,1936,5126,987877,2020-05-07
27178,1747,3957,1009351,2020-05-08
25733,1488,13541,1020055,2020-05-09
19764,894,3635,1035290,2020-05-10
18878,1015,16564,1036589,2020-05-11
22190,1626,-2446,1059599,2020-05-12
20958,1763,13143,1065651,2020-05-13
27617,1783,2984,1088501,2020-05-14
25300,1681,4333,1107787,2020-05-15
25101,1216,17629,1114043,2020-05-16
19004,758,3889,1128400,2020-05-17
21769,776,10913,1138480,2020-05-18
20449,1555,6214,1151160,2020-05-19
23807,1579,4920,1168468,2020-05-20
25355,1234,4106,1188483,2020-05-21
24141,1273,51717,1159634,2020-05-22
21823,1130,11104,1169223,2020-05-23
20813,614,5497,1183925,2020-05-24
18991,523,12421,1189972,2020-05-25
18883,695,5745,1202415,2020-05-26
18282,1518,6606,1212573,2020-05-27
22815,1192,8483,1225713,2020-05-28
24504,1171,6455,1242591,2020-05-29
24450,979,10015,1256047,2020-05-30
19910,591,28297,1247069,2020-05-31
17355,777,13473,1250174,2020-06-01
20895,1043,5637,1264389,2020-06-02
19958,1011,15390,1267946,2020-06-03
21351,1023,5744,1282530,2020-06-04
25224,949,6704,1300101,2020-06-05
22732,687,9143,1313003,2020-06-06
17731,447,5518,1324769,2020-06-07
17415,513,12155,1329516,2020-06-08
18127,945,6333,1340365,2020-06-09
20794,918,8649,1351592,2020-06-10
22950,888,6788,1366866,2020-06-11
25330,832,7094,1384270,2020-06-12
25556,763,9220,1399843,2020-06-13
19824,308,5210,1414149,2020-06-14
19660,391,14518,1418900,2020-06-15
23705,843,7169,1434593,2020-06-16
25559,752,8688,1450712,2020-06-17
27809,710,6924,1470887,2020-06-18
31480,672,7600,1494095,2020-06-19
32749,613,10745,1515486,2020-06-20
26439,284,4673,1536968,2020-06-21
30536,387,18065,1549052,2020-06-22
35188,847,7350,1576043,2020-06-23
34935,764,8613,1601601,2020-06-24
39873,559,7401,1633514,2020-06-25
45255,612,7247,1670910,2020-06-26
42705,500,8499,1704616,2020-06-27
39605,251,5856,1738114,2020-06-28
40804,364,20039,1758515,2020-06-29
45746,735,15428,1788098,2020-06-30
51174,687,9363,1829222,2020-07-01
54461,724,51976,1830983,2020-07-02
53312,653,8434,1875208,2020-07-03
45880,271,103921,1816896,2020-07-04
49883,299,12438,1854042,2020-07-05
44953,351,17385,1881259,2020-07-06
60021,1224,12328,1927728,2020-07-07
58601,850,16986,1968493,2020-07-08
63247,1012,15649,2015079,2020-07-09
67791,830,14074,2067966,2020-07-10
60188,691,12391,2115072,2020-07-11
59017,451,10750,2162888,2020-07-12
59215,389,25613,2196101,2020-07-13
67417,928,17159,2245431,2020-07-14
67328,968,26784,2285007,2020-07-15
77255,953,14763,2346546,2020-07-16
71558,920,16559,2400625,2020-07-17
63698,870,15516,2447937,2020-07-18
61847,445,8401,2500938,2020-07-19
61417,514,28966,2532875,2020-07-20
64534,1109,21931,2574369,2020-07-21
70910,1211,28831,2615237,2020-07-22
68695,1121,22420,2660391,2020-07-23
73715,1123,28355,2704628,2020-07-24
66439,901,17790,2752376,2020-07-25
54953,477,18449,2788403,2020-07-26
56414,1125,27941,2815751,2020-07-27
65869,1368,29559,2850693,2020-07-28
70776,1436,34062,2885971,2020-07-29
68033,1216,24730,2928058,2020-07-30
67092,1246,24005,2969899,2020-07-31
58485,1111,23725,3003548,2020-08-01
47580,406,6804,3043918,2020-08-02
45368,539,44757,3043990,2020-08-03
57540,1378,15533,3084619,2020-08-04
52810,1372,48872,3087185,2020-08-05
59692,1250,20773,3124854,2020-08-06
58173,1243,25246,3156538,2020-08-07
56174,1076,19248,3192388,2020-08-08
46935,515,13746,3225062,2020-08-09
49536,525,13891,3260182,2020-08-10
46808,1064,44205,3261721,2020-08-11
56203,1507,38800,3277617,2020-08-12
51547,1076,20888,3307200,2020-08-13
64294,1342,21678,3348474,2020-08-14
