Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
4,0,0,4,2020-03-13
2,0,0,6,2020-03-14
2,0,0,8,2020-03-15
21,0,0,29,2020-03-16
21,0,0,50,2020-03-17
29,0,0,79,2020-03-18
15,0,0,94,2020-03-19
16,0,0,110,2020-03-20
25,0,0,135,2020-03-21
23,0,0,158,2020-03-22
4,0,0,162,2020-03-23
27,0,0,189,2020-03-24
28,0,0,217,2020-03-25
21,0,0,238,2020-03-26
36,0,0,274,2020-03-27
29,1,0,302,2020-03-28
6,0,0,308,2020-03-29
11,0,0,319,2020-03-30
18,0,41,296,2020-03-31
12,1,21,286,2020-04-01
19,2,6,297,2020-04-02
17,0,18,296,2020-04-03
14,1,7,302,2020-04-04
6,1,11,296,2020-04-05
9,0,19,286,2020-04-06
9,1,27,267,2020-04-07
32,0,42,257,2020-04-08
17,0,14,260,2020-04-09
21,0,8,273,2020-04-10
7,0,10,270,2020-04-11
-21,0,7,242,2020-04-12
3,1,17,227,2020-04-13
9,0,12,224,2020-04-14
1,1,12,212,2020-04-15
9,0,14,207,2020-04-16
6,0,8,205,2020-04-17
9,0,4,210,2020-04-18
11,1,0,220,2020-04-19
7,0,15,212,2020-04-20
8,2,11,207,2020-04-21
6,0,13,200,2020-04-22
8,0,17,191,2020-04-23
6,0,15,182,2020-04-24
33,2,1,212,2020-04-25
10,1,5,216,2020-04-26
14,0,11,219,2020-04-27
5,0,8,216,2020-04-28
5,0,18,203,2020-04-29
13,2,5,209,2020-04-30
5,0,18,196,2020-05-01
4,0,5,195,2020-05-02
3,0,2,196,2020-05-03
2,0,5,193,2020-05-04
13,0,21,185,2020-05-05
3,0,18,170,2020-05-06
11,0,6,175,2020-05-07
10,1,14,170,2020-05-08
8,0,7,171,2020-05-09
5,1,4,171,2020-05-10
4,0,6,169,2020-05-11
6,0,9,166,2020-05-12
2,0,13,155,2020-05-13
5,0,2,158,2020-05-14
8,0,6,160,2020-05-15
1,0,5,156,2020-05-16
1,1,6,150,2020-05-17
3,0,5,148,2020-05-18
1,0,10,139,2020-05-19
8,0,9,138,2020-05-20
3,0,6,135,2020-05-21
4,0,9,130,2020-05-22
11,2,13,126,2020-05-23
5,0,2,129,2020-05-24
18,0,11,136,2020-05-25
2,0,9,129,2020-05-26
14,0,12,131,2020-05-27
8,0,4,135,2020-05-28
5,0,26,114,2020-05-29
5,0,2,117,2020-05-30
2,0,3,116,2020-05-31
2,1,4,113,2020-06-01
1,0,2,112,2020-06-02
2,0,7,107,2020-06-03
4,0,11,100,2020-06-04
2,0,12,90,2020-06-05
11,0,5,96,2020-06-06
0,0,4,92,2020-06-07
0,0,8,84,2020-06-08
1,0,16,69,2020-06-09
1,0,4,66,2020-06-10
0,0,14,52,2020-06-11
