Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
1,0,0,1,2020-03-15
5,0,0,6,2020-03-16
4,0,0,10,2020-03-17
5,0,0,15,2020-03-18
8,0,0,23,2020-03-19
10,0,0,33,2020-03-20
10,0,0,43,2020-03-21
0,0,0,43,2020-03-22
3,0,0,46,2020-03-23
4,0,0,50,2020-03-24
10,0,0,60,2020-03-25
15,0,0,75,2020-03-26
13,1,5,82,2020-03-27
16,1,0,97,2020-03-28
40,0,2,135,2020-03-29
5,0,0,140,2020-03-30
23,0,0,163,2020-03-31
9,0,5,167,2020-04-01
24,0,13,178,2020-04-02
22,0,0,200,2020-04-03
39,0,0,239,2020-04-04
76,0,5,310,2020-04-05
115,0,0,425,2020-04-06
63,0,0,488,2020-04-07
25,1,0,512,2020-04-08
37,0,8,541,2020-04-09
42,0,4,579,2020-04-10
143,1,0,721,2020-04-11
98,0,24,795,2020-04-12
133,0,19,909,2020-04-13
167,0,14,1062,2020-04-14
137,0,8,1191,2020-04-15
47,0,22,1216,2020-04-16
56,0,27,1245,2020-04-17
85,1,38,1291,2020-04-18
75,0,31,1335,2020-04-19
62,0,36,1361,2020-04-20
51,1,96,1315,2020-04-21
38,1,93,1259,2020-04-22
42,0,111,1190,2020-04-23
46,1,60,1175,2020-04-24
58,0,86,1147,2020-04-25
7,0,82,1072,2020-04-26
35,0,103,1004,2020-04-27
35,0,100,939,2020-04-28
63,1,104,897,2020-04-29
37,0,37,897,2020-04-30
47,0,79,865,2020-05-01
32,0,59,838,2020-05-02
31,1,48,820,2020-05-03
40,0,86,774,2020-05-04
18,0,96,696,2020-05-05
26,0,76,646,2020-05-06
65,0,79,632,2020-05-07
27,0,119,540,2020-05-08
24,0,71,493,2020-05-09
69,0,35,527,2020-05-10
68,0,107,488,2020-05-11
33,0,22,499,2020-05-12
93,1,66,525,2020-05-13
33,0,60,498,2020-05-14
41,0,22,517,2020-05-15
52,0,55,514,2020-05-16
15,1,34,494,2020-05-17
38,1,67,464,2020-05-18
64,0,24,504,2020-05-19
84,0,34,554,2020-05-20
25,0,35,544,2020-05-21
64,0,85,523,2020-05-22
87,0,40,570,2020-05-23
49,0,33,586,2020-05-24
25,0,42,569,2020-05-25
101,1,29,640,2020-05-26
79,0,32,687,2020-05-27
75,0,26,736,2020-05-28
24,0,34,726,2020-05-29
78,0,55,749,2020-05-30
77,1,54,771,2020-05-31
79,0,22,828,2020-06-01
58,0,49,837,2020-06-02
83,1,106,813,2020-06-03
96,0,73,836,2020-06-04
68,0,160,744,2020-06-05
87,1,21,809,2020-06-06
237,0,86,960,2020-06-07
109,1,3,1065,2020-06-08
80,0,102,1043,2020-06-09
103,1,73,1072,2020-06-10
