Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
2,0,0,2,2020-03-14
8,0,0,10,2020-03-15
7,0,0,17,2020-03-16
16,0,0,33,2020-03-17
3,0,0,36,2020-03-18
6,0,0,42,2020-03-19
0,0,0,42,2020-03-20
28,0,0,70,2020-03-21
0,0,15,55,2020-03-22
7,0,0,62,2020-03-23
7,0,0,69,2020-03-24
7,0,0,76,2020-03-25
16,0,0,92,2020-03-26
0,1,16,75,2020-03-27
12,1,8,78,2020-03-28
0,0,0,78,2020-03-29
16,1,0,93,2020-03-30
0,0,0,93,2020-03-31
8,0,2,99,2020-04-01
3,2,2,98,2020-04-02
7,2,9,94,2020-04-03
2,0,0,96,2020-04-04
4,0,0,100,2020-04-05
6,0,13,93,2020-04-06
0,0,0,93,2020-04-07
2,2,0,93,2020-04-08
4,0,19,78,2020-04-09
0,0,0,78,2020-04-10
4,0,9,73,2020-04-11
6,0,0,79,2020-04-12
8,0,17,70,2020-04-13
0,0,0,70,2020-04-14
8,0,1,77,2020-04-15
7,0,0,84,2020-04-16
0,0,0,84,2020-04-17
23,0,2,105,2020-04-18
29,0,4,130,2020-04-19
0,0,0,130,2020-04-20
29,1,0,158,2020-04-21
3,0,5,156,2020-04-22
23,0,4,175,2020-04-23
7,0,6,176,2020-04-24
5,0,0,181,2020-04-25
2,0,5,178,2020-04-26
4,0,5,177,2020-04-27
0,0,0,177,2020-04-28
2,0,0,179,2020-04-29
2,6,0,175,2020-04-30
2,-6,6,177,2020-05-01
10,0,0,187,2020-05-02
12,0,10,189,2020-05-03
0,0,0,189,2020-05-04
4,0,0,193,2020-05-05
18,0,18,193,2020-05-06
2,0,9,186,2020-05-07
7,0,5,188,2020-05-08
14,0,0,202,2020-05-09
12,0,3,211,2020-05-10
8,0,12,207,2020-05-11
1,0,15,193,2020-05-12
0,0,0,193,2020-05-13
32,0,0,225,2020-05-14
4,0,9,220,2020-05-15
45,0,12,253,2020-05-16
37,0,0,290,2020-05-17
77,0,12,355,2020-05-18
131,0,0,486,2020-05-19
75,0,9,552,2020-05-20
58,0,0,610,2020-05-21
62,0,0,672,2020-05-22
66,0,0,738,2020-05-23
111,0,0,849,2020-05-24
56,0,40,865,2020-05-25
34,1,0,898,2020-05-26
34,0,0,932,2020-05-27
80,0,0,1012,2020-05-28
45,3,0,1054,2020-05-29
89,0,0,1143,2020-05-30
51,0,0,1194,2020-05-31
152,3,0,1343,2020-06-01
157,1,32,1467,2020-06-02
133,2,0,1598,2020-06-03
135,0,0,1733,2020-06-04
58,0,0,1791,2020-06-05
171,2,51,1909,2020-06-06
61,0,102,1868,2020-06-07
96,0,0,1964,2020-06-08
159,1,0,2122,2020-06-09
106,0,0,2228,2020-06-10
